SchoolName,SizeSetting,Control,F20Enrollment
Western Governors University,"Four-year, large, primarily nonresidential",Private not-for-profit,"147,866"
Southern New Hampshire University,"Four-year, large, primarily nonresidential",Private not-for-profit,"134,345"
Grand Canyon University,"Four-year, large, primarily nonresidential",Private not-for-profit,"103,427"
Liberty University,"Four-year, large, primarily nonresidential",Private not-for-profit,"93,349"
The Pennsylvania State University,"Four-year, large, primarily residential",Public,"89,816"
University of Phoenix-Arizona,"Four-year, large, primarily nonresidential",Private for-profit,"89,763"
Arizona State University Campus Immersion,"Four-year, large, primarily residential",Public,"74,795"
Dallas College,"Two-year, very large",Public,"74,781"
University of Central Florida,"Four-year, large, primarily nonresidential",Public,"71,881"
Texas A & M University-College Station,"Four-year, large, primarily nonresidential",Public,"70,418"
Lone Star College System,"Two-year, very large",Public,"70,109"
Ivy Tech Community College,"Two-year, very large",Public,"63,809"
Ohio State University-Main Campus,"Four-year, large, primarily residential",Public,"61,369"
Florida International University,"Four-year, large, primarily nonresidential",Public,"58,836"
University of Maryland Global Campus,"Four-year, large, primarily nonresidential",Public,"58,526"
Community College of the Air Force,"Two-year, very large",Public,"55,786"
Arizona State University Digital Immersion,"Four-year, large, primarily nonresidential",Public,"53,993"
University of Florida,"Four-year, large, primarily residential",Public,"53,372"
Northern Virginia Community College,"Two-year, very large",Public,"52,873"
New York University,"Four-year, large, primarily residential",Private not-for-profit,"52,775"
University of Illinois Urbana-Champaign,"Four-year, large, primarily residential",Public,"52,679"
University of Minnesota-Twin Cities,"Four-year, large, primarily nonresidential",Public,"52,017"
University of South Florida,"Four-year, large, primarily nonresidential",Public,"50,626"
The University of Texas at Austin,"Four-year, large, primarily nonresidential",Public,"50,476"
Rutgers University-New Brunswick,"Four-year, large, primarily residential",Public,"50,411"
American Public University System,"Four-year, large, primarily nonresidential",Private for-profit,"50,047"
Michigan State University,"Four-year, large, primarily residential",Public,"49,695"
Walden University,"Four-year, large, primarily nonresidential",Private for-profit,"49,695"
Houston Community College,"Two-year, very large",Public,"48,329"
University of Washington-Seattle Campus,"Four-year, large, primarily residential",Public,"48,149"
The University of Texas at Arlington,"Four-year, large, primarily residential",Public,"48,072"
University of Michigan-Ann Arbor,"Four-year, large, primarily residential",Public,"47,907"
University of Houston,"Four-year, large, primarily nonresidential",Public,"47,090"
Purdue University-Main Campus,"Four-year, large, primarily residential",Public,"46,655"
Miami Dade College,"Four-year, large, primarily nonresidential",Public,"46,523"
University of Southern California,"Four-year, large, primarily residential",Private not-for-profit,"46,287"
Valencia College,"Four-year, large, primarily nonresidential",Public,"45,949"
University of Arizona,"Four-year, large, primarily nonresidential",Public,"45,601"
University of Wisconsin-Madison,"Four-year, large, primarily residential",Public,"44,640"
University of California-Los Angeles,"Four-year, large, highly residential",Public,"44,589"
Brigham Young University-Idaho,"Four-year, large, primarily nonresidential",Private not-for-profit,"44,481"
Purdue University Global,"Four-year, large, primarily nonresidential",Public,"43,927"
University of the People,"Four-year, medium, primarily nonresidential",Private not-for-profit,"43,722"
Florida State University,"Four-year, large, primarily nonresidential",Public,"43,569"
Indiana University-Bloomington,"Four-year, large, primarily residential",Public,"43,064"
Tarrant County College District,"Two-year, very large",Public,"43,000"
University of California-Berkeley,"Four-year, large, primarily residential",Public,"42,327"
California State University-Fullerton,"Four-year, large, primarily nonresidential",Public,"42,051"
Kennesaw State University,"Four-year, large, primarily nonresidential",Public,"41,181"
University of North Texas,"Four-year, large, primarily nonresidential",Public,"40,953"
Utah Valley University,"Four-year, large, primarily nonresidential",Public,"40,936"
University of Cincinnati-Main Campus,"Four-year, large, primarily residential",Public,"40,826"
University of Maryland-College Park,"Four-year, large, primarily residential",Public,"40,709"
California State University-Northridge,"Four-year, large, primarily nonresidential",Public,"40,381"
Texas Tech University,"Four-year, large, primarily nonresidential",Public,"40,322"
California State University-Long Beach,"Four-year, large, primarily nonresidential",Public,"40,069"
Eastern Gateway Community College,"Two-year, very large",Public,"40,036"
Austin Community College District,"Four-year, large, primarily nonresidential",Public,"39,896"
Georgia Institute of Technology-Main Campus,"Four-year, large, highly residential",Public,"39,771"
University of California-San Diego,"Four-year, large, highly residential",Public,"39,576"
University of Georgia,"Four-year, large, primarily residential",Public,"39,147"
University of California-Davis,"Four-year, large, primarily residential",Public,"39,074"
Capella University,"Four-year, large, primarily nonresidential",Private for-profit,"38,930"
George Mason University,"Four-year, large, primarily nonresidential",Public,"38,541"
The University of Alabama,"Four-year, large, primarily residential",Public,"37,840"
Texas State University,"Four-year, large, primarily nonresidential",Public,"37,812"
University of Colorado Boulder,"Four-year, large, primarily residential",Public,"37,437"
Temple University,"Four-year, large, primarily nonresidential",Public,"37,236"
Virginia Polytechnic Institute and State University,"Four-year, large, primarily residential",Public,"37,024"
Brigham Young University,"Four-year, large, primarily nonresidential",Private not-for-profit,"36,461"
Georgia State University,"Four-year, large, primarily nonresidential",Public,"36,360"
San Diego State University,"Four-year, large, primarily nonresidential",Public,"36,334"
University of California-Irvine,"Four-year, large, primarily residential",Public,"36,303"
San Jose State University,"Four-year, large, primarily nonresidential",Public,"36,208"
North Carolina State University at Raleigh,"Four-year, large, primarily residential",Public,"36,042"
University of South Carolina-Columbia,"Four-year, large, primarily residential",Public,"35,470"
Collin County Community College District,"Four-year, large, primarily nonresidential",Public,"35,390"
The University of Texas at San Antonio,"Four-year, large, primarily nonresidential",Public,"34,742"
Louisiana State University and Agricultural & Mechanical College,"Four-year, large, primarily residential",Public,"34,285"
University of Illinois Chicago,"Four-year, large, primarily nonresidential",Public,"33,518"
East Los Angeles College,"Two-year, very large",Public,"33,397"
Broward College,"Four-year, large, primarily nonresidential",Public,"33,243"
University of Utah,"Four-year, large, primarily residential",Public,"33,081"
Boston University,"Four-year, large, highly residential",Private not-for-profit,"32,718"
The University of Texas Rio Grande Valley,"Four-year, large, primarily nonresidential",Public,"32,441"
Colorado State University-Fort Collins,"Four-year, large, primarily residential",Public,"32,428"
University at Buffalo,"Four-year, large, primarily residential",Public,"32,347"
Oregon State University,"Four-year, large, primarily nonresidential",Public,"32,312"
California State University-Sacramento,"Four-year, large, primarily nonresidential",Public,"32,293"
University of Pittsburgh-Pittsburgh Campus,"Four-year, large, primarily residential",Public,"32,277"
Iowa State University,"Four-year, large, primarily residential",Public,"31,822"
University of Massachusetts-Amherst,"Four-year, large, highly residential",Public,"31,642"
Washington State University,"Four-year, large, primarily residential",Public,"31,159"
University of Nevada-Las Vegas,"Four-year, large, primarily nonresidential",Public,"31,142"
University of Arizona Global Campus,"Four-year, large, primarily nonresidential",Private not-for-profit,"31,115"
San Jacinto Community College,"Two-year, very large",Public,"31,110"
University of Missouri-Columbia,"Four-year, large, primarily residential",Public,"31,089"
Florida Atlantic University,"Four-year, large, primarily nonresidential",Public,"30,805"
Auburn University,"Four-year, large, primarily nonresidential",Public,"30,737"
The University of Tennessee-Knoxville,"Four-year, large, primarily residential",Public,"30,559"
Harvard University,"Four-year, large, highly residential",Private not-for-profit,"30,391"
University of Iowa,"Four-year, large, primarily residential",Public,"30,318"
University of North Carolina at Charlotte,"Four-year, large, primarily residential",Public,"30,146"
Columbia University in the City of New York,"Four-year, large, highly residential",Private not-for-profit,"30,135"
University of North Carolina at Chapel Hill,"Four-year, large, highly residential",Public,"30,092"
California State Polytechnic University-Pomona,"Four-year, large, primarily nonresidential",Public,"30,014"
University of Kentucky,"Four-year, large, primarily residential",Public,"29,986"
College of Southern Nevada,"Four-year, large, primarily nonresidential",Public,"29,965"
Weber State University,"Four-year, large, primarily nonresidential",Public,"29,596"
Northern Arizona University,"Four-year, large, primarily residential",Public,"29,566"
Chamberlain University-Illinois,"Four-year, large, primarily nonresidential",Private for-profit,"29,481"
Indiana University-Purdue University-Indianapolis,"Four-year, large, primarily nonresidential",Public,"29,390"
Virginia Commonwealth University,"Four-year, large, primarily residential",Public,"29,070"
Johns Hopkins University,"Four-year, large, primarily residential",Private not-for-profit,"28,890"
East Carolina University,"Four-year, large, primarily residential",Public,"28,798"
The University of Texas at Dallas,"Four-year, large, primarily residential",Public,"28,669"
Mt San Antonio College,"Two-year, very large",Public,"28,393"
Colorado Technical University-Colorado Springs,"Four-year, large, primarily nonresidential",Private for-profit,"28,244"
South Texas College,"Four-year, medium, primarily nonresidential",Public,"28,233"
University of Oklahoma-Norman Campus,"Four-year, large, primarily residential",Public,"27,772"
Utah State University,"Four-year, large, primarily nonresidential",Public,"27,691"
Columbus State Community College,"Two-year, very large",Public,"27,621"
University of Arkansas,"Four-year, large, primarily residential",Public,"27,562"
San Francisco State University,"Four-year, large, primarily nonresidential",Public,"27,349"
Salt Lake Community College,"Two-year, very large",Public,"27,293"
University of Connecticut,"Four-year, large, highly residential",Public,"27,215"
George Washington University,"Four-year, large, highly residential",Private not-for-profit,"27,017"
Georgia Southern University,"Four-year, large, primarily residential",Public,"26,949"
Kent State University at Kent,"Four-year, large, primarily residential",Public,"26,822"
Stony Brook University,"Four-year, large, highly residential",Public,"26,782"
California State University-Los Angeles,"Four-year, large, primarily nonresidential",Public,"26,745"
University of Kansas,"Four-year, large, primarily residential",Public,"26,744"
Palm Beach State College,"Four-year, large, primarily nonresidential",Public,"26,666"
University of Pennsylvania,"Four-year, large, highly residential",Private not-for-profit,"26,552"
University of California-Riverside,"Four-year, large, primarily residential",Public,"26,434"
St Petersburg College,"Four-year, large, primarily nonresidential",Public,"26,430"
Clemson University,"Four-year, large, primarily residential",Public,"26,406"
West Virginia University,"Four-year, large, primarily residential",Public,"26,269"
Wayne State University,"Four-year, large, primarily nonresidential",Public,"26,241"
University of California-Santa Barbara,"Four-year, large, primarily residential",Public,"26,179"
El Paso Community College,"Two-year, very large",Public,"26,034"
NUC University,"Four-year, large, primarily nonresidential",Private for-profit,"25,999"
Santa Monica College,"Four-year, large, primarily nonresidential",Public,"25,948"
Ohio University-Main Campus,"Four-year, large, primarily residential",Public,"25,714"
University of Virginia-Main Campus,"Four-year, large, primarily residential",Public,"25,628"
California State University-Fresno,"Four-year, large, primarily nonresidential",Public,"25,497"
American River College,"Two-year, very large",Public,"25,422"
University of Nebraska-Lincoln,"Four-year, large, primarily residential",Public,"25,108"
Pasadena City College,"Two-year, very large",Public,"25,034"
Bakersfield College,"Four-year, large, primarily nonresidential",Public,"24,903"
The University of Texas at El Paso,"Four-year, large, primarily nonresidential",Public,"24,879"
