"School","GameDate","TRound","GDayVolCol","GameDayVolume","During_Start","During_End","Elim","Elim_1","Elim_2","Elim_3","Post_Start","Post_End","Pre_Start","Pre_End","Seed","Major"
"Pittsburgh University",2023-03-14,"First 4",74," 4,671",74,80,81,82,83,84,81,133,2,73,11,"Yes"
"Texas A&M Corpus Christi",2023-03-14,"First 4",74,"   510",74,77,78,79,80,81,78,133,2,73,16,"No"
"Arizona State University",2023-03-15,"First 4",75," 3,902",74,78,79,80,81,82,79,133,2,73,11,"Yes"
"Fairleigh Dickinson University",2023-03-15,"First 4",75," 1,641",74,80,81,82,83,84,81,133,2,73,16,"No"
"Princeton University",2023-03-16,"Round of 64",76," 9,369",74,85,86,87,88,89,86,133,2,73,15,"No"
"Furman University",2023-03-16,"Round of 64",76," 8,617",74,79,80,81,82,83,80,133,2,73,13,"No"
"Penn State University",2023-03-16,"Round of 64",76," 3,654",74,79,80,81,82,83,80,133,2,73,10,"Yes"
"Auburn University",2023-03-16,"Round of 64",76,"   578",74,79,80,81,82,83,80,133,2,73,9,"Yes"
"University of Arkansas",2023-03-16,"Round of 64",76," 5,816",74,84,85,86,87,88,85,133,2,73,8,"Yes"
"University of Maryland",2023-03-16,"Round of 64",76,"10,230",74,79,80,81,82,83,80,133,2,73,8,"Yes"
"Northwestern University",2023-03-16,"Round of 64",76," 3,613",74,79,80,81,82,83,80,133,2,73,7,"Yes"
"University of Missouri",2023-03-16,"Round of 64",76," 6,714",74,79,80,81,82,83,80,133,2,73,7,"Yes"
"San Diego State University",2023-03-16,"Round of 64",76," 2,658",74,95,96,97,98,99,96,133,2,73,5,"No"
"Duke University",2023-03-16,"Round of 64",76," 7,374",74,79,80,81,82,83,80,133,2,73,5,"Yes"
"University of Tennessee Knoxville",2023-03-16,"Round of 64",76," 4,464",74,84,85,86,87,88,85,133,2,73,4,"Yes"
"University of Texas at Austin",2023-03-16,"Round of 64",76," 6,631",74,87,88,89,90,91,88,133,2,73,2,"Yes"
"UCLA",2023-03-16,"Round of 64",76," 2,967",74,84,85,86,87,88,85,133,2,73,2,"Yes"
"University of Kansas",2023-03-16,"Round of 64",76," 5,329",74,79,80,81,82,83,80,133,2,73,1,"Yes"
"University of Houston",2023-03-16,"Round of 64",76," 4,067",74,85,86,87,88,89,86,133,2,73,1,"No"
"University of Alabama",2023-03-16,"Round of 64",76," 7,082",74,85,86,87,88,89,86,133,2,73,1,"Yes"
"Fairleigh Dickinson University",2023-03-17,"Round of 64",77,"18,936",74,80,81,82,83,84,81,133,2,73,16,"No"
"Pittsburgh University",2023-03-17,"Round of 64",77," 5,593",74,80,81,82,83,84,81,133,2,73,11,"Yes"
"Florida Atlantic University",2023-03-17,"Round of 64",77," 1,785",74,93,94,95,96,97,94,133,2,73,9,"No"
"Michigan State University",2023-03-17,"Round of 64",77," 6,070",74,84,85,86,87,88,85,133,2,73,7,"Yes"
"Texas Christian University",2023-03-17,"Round of 64",77,"   816",74,80,81,82,83,84,81,133,2,73,6,"Yes"
"Creighton University",2023-03-17,"Round of 64",77," 1,548",74,87,88,89,90,91,88,133,2,73,6,"Yes"
"University of Kentucky",2023-03-17,"Round of 64",77," 8,707",74,80,81,82,83,84,81,133,2,73,6,"Yes"
"University of Miami",2023-03-17,"Round of 64",77," 4,438",74,93,94,95,96,97,94,133,2,73,5,"Yes"
"Saint Mary's College",2023-03-17,"Round of 64",77,"   831",74,80,81,82,83,84,81,133,2,73,5,"No"
"University of Connecticut",2023-03-17,"Round of 64",77," 3,818",74,95,96,97,98,99,96,133,2,73,4,"Yes"
"Indiana University Bloomington",2023-03-17,"Round of 64",77," 2,299",74,80,81,82,83,84,81,133,2,73,4,"Yes"
"Gonzaga University",2023-03-17,"Round of 64",77," 1,427",74,86,87,88,89,90,87,133,2,73,3,"No"
"Xavier University",2023-03-17,"Round of 64",77," 2,107",74,85,86,87,88,89,86,133,2,73,3,"No"
"Kansas State University",2023-03-17,"Round of 64",77," 2,180",74,86,87,88,89,90,87,133,2,73,3,"No"
"Baylor University",2023-03-17,"Round of 64",77," 1,838",74,80,81,82,83,84,81,133,2,73,3,"Yes"
"Marquette University",2023-03-17,"Round of 64",77," 2,120",74,80,81,82,83,84,81,133,2,73,2,"Yes"
"University of Arkansas",2023-03-18,"Round of 32",78,"23,923",74,84,85,86,87,88,85,133,2,73,8,"Yes"
"University of Tennessee Knoxville",2023-03-18,"Round of 32",78,"17,820",74,84,85,86,87,88,85,133,2,73,4,"Yes"
"UCLA",2023-03-18,"Round of 32",78," 3,942",74,84,85,86,87,88,85,133,2,73,2,"Yes"
"Princeton University",2023-03-18,"Round of 32",78," 8,442",74,85,86,87,88,89,86,133,2,73,15,"No"
"University of Alabama",2023-03-18,"Round of 32",78," 5,555",74,85,86,87,88,89,86,133,2,73,1,"Yes"
"University of Houston",2023-03-18,"Round of 32",78," 7,803",74,85,86,87,88,89,86,133,2,73,1,"No"
"University of Texas at Austin",2023-03-18,"Round of 32",78,"12,035",74,87,88,89,90,91,88,133,2,73,2,"Yes"
"San Diego State University",2023-03-18,"Round of 32",78," 3,307",74,95,96,97,98,99,96,133,2,73,5,"No"
"Michigan State University",2023-03-19,"Round of 32",79,"16,509",74,84,85,86,87,88,85,133,2,73,7,"Yes"
"Creighton University",2023-03-19,"Round of 32",79," 3,251",74,87,88,89,90,91,88,133,2,73,6,"Yes"
"University of Miami",2023-03-19,"Round of 32",79," 6,751",74,93,94,95,96,97,94,133,2,73,5,"Yes"
"University of Connecticut",2023-03-19,"Round of 32",79," 4,928",74,95,96,97,98,99,96,133,2,73,4,"Yes"
"Gonzaga University",2023-03-19,"Round of 32",79," 1,590",74,86,87,88,89,90,87,133,2,73,3,"No"
"Kansas State University",2023-03-19,"Round of 32",79,"14,007",74,86,87,88,89,90,87,133,2,73,3,"No"
"Xavier University",2023-03-19,"Round of 32",79," 3,706",74,85,86,87,88,89,86,133,2,73,3,"No"
"Florida Atlantic University",2023-03-19,"Round of 32",79," 5,985",74,93,94,95,96,97,94,133,2,73,9,"No"
"Gonzaga University",2023-03-23,"Sweet 16",83," 3,293",74,86,87,88,89,90,87,133,2,73,3,"No"
"Florida Atlantic University",2023-03-23,"Sweet 16",83," 6,039",74,93,94,95,96,97,94,133,2,73,9,"No"
"Kansas State University",2023-03-23,"Sweet 16",83,"18,141",74,86,87,88,89,90,87,133,2,73,3,"No"
"University of Connecticut",2023-03-23,"Sweet 16",83," 7,774",74,95,96,97,98,99,96,133,2,73,4,"Yes"
"San Diego State University",2023-03-24,"Sweet 16",84,"12,321",74,95,96,97,98,99,96,133,2,73,5,"No"
"University of Miami",2023-03-24,"Sweet 16",84,"14,516",74,93,94,95,96,97,94,133,2,73,5,"Yes"
"University of Texas at Austin",2023-03-24,"Sweet 16",84," 8,909",74,87,88,89,90,91,88,133,2,73,2,"Yes"
