Date,Time,Team,IsWinner,Seed,WinningSeed,LosingSeed,WinningScore,LosingScore
3/14/2023,09:34PM ET,Pittsburgh University,Yes,11,11,11,60,59
3/14/2023,06:40PM ET,Texas A&M Corpus Christi,Yes,16,16,16,75,71
3/15/2023,09:10PM ET,Arizona State University,Yes,11,11,11,98,73
3/15/2023,06:40PM ET,Fairleigh Dickinson University,Yes,16,16,16,84,61
3/16/2023,04:18PM ET,Princeton University,Yes,15,15,2,59,55
3/16/2023,12:40PM ET,Furman University,Yes,13,13,4,68,67
3/16/2023,10:16PM ET,Penn State University,Yes,10,10,7,76,59
3/16/2023,06:50PM ET,Auburn University,Yes,9,9,8,83,75
3/16/2023,04:34PM ET,University of Arkansas,Yes,8,8,9,73,63
3/16/2023,12:15PM ET,University of Maryland,Yes,8,8,9,67,65
3/16/2023,07:35PM ET,Northwestern University,Yes,7,7,10,75,67
3/16/2023,01:40PM ET,University of Missouri,Yes,7,7,10,76,65
3/16/2023,03:25PM ET,San Diego State University,Yes,5,5,12,63,57
3/16/2023,07:10PM ET,Duke University,Yes,5,5,12,74,51
3/16/2023,09:33PM ET,University of Tennessee Knoxville,Yes,4,4,13,58,55
3/16/2023,07:25PM ET,University of Texas at Austin,Yes,2,2,15,81,61
3/16/2023,10:11PM ET,UCLA,Yes,2,2,15,86,53
3/16/2023,02:00PM ET,University of Kansas,Yes,1,1,16,96,68
3/16/2023,09:39PM ET,University of Houston,Yes,1,1,16,63,52
3/16/2023,03:17PM ET,University of Alabama,Yes,1,1,16,96,75
3/17/2023,06:50PM ET,Fairleigh Dickinson University,Yes,16,16,1,63,58
3/17/2023,03:31PM ET,Pittsburgh University,Yes,11,11,6,59,41
3/17/2023,09:42PM ET,Florida Atlantic University,Yes,9,9,8,66,65
3/17/2023,12:15PM ET,Michigan State University,Yes,7,7,10,72,62
3/17/2023,10:05PM ET,Texas Christian University,Yes,6,6,11,72,70
3/17/2023,03:56PM ET,Creighton University,Yes,6,6,11,72,63
3/17/2023,07:13PM ET,University of Kentucky,Yes,6,6,11,61,53
3/17/2023,07:55PM ET,University of Miami,Yes,5,5,12,63,56
3/17/2023,02:00PM ET,Saint Mary's College,Yes,5,5,12,63,51
3/17/2023,04:48PM ET,University of Connecticut,Yes,4,4,13,87,63
3/17/2023,10:36PM ET,Indiana University Bloomington,Yes,4,4,13,71,60
3/17/2023,07:35PM ET,Gonzaga University,Yes,3,3,14,82,70
3/17/2023,12:40PM ET,Xavier University,Yes,3,3,14,72,67
3/17/2023,09:56PM ET,Kansas State University,Yes,3,3,14,77,65
3/17/2023,01:30PM ET,Baylor University,Yes,3,3,14,74,56
3/17/2023,02:51PM ET,Marquette University,Yes,2,2,15,78,61
3/18/2023,05:25PM ET,University of Arkansas,Yes,8,8,1,72,71
3/18/2023,02:40PM ET,University of Tennessee Knoxville,Yes,4,4,5,65,52
3/18/2023,08:50PM ET,UCLA,Yes,2,2,7,68,63
3/18/2023,06:10PM ET,Princeton University,Yes,15,15,7,78,63
3/18/2023,10:02PM ET,University of Alabama,Yes,1,1,8,73,51
3/18/2023,07:10PM ET,University of Houston,Yes,1,1,9,81,64
3/18/2023,08:17PM ET,University of Texas at Austin,Yes,2,2,10,71,66
3/18/2023,12:10PM ET,San Diego State University,Yes,5,5,13,75,52
3/19/2023,05:20PM ET,Michigan State University,Yes,7,7,2,69,60
3/19/2023,07:10PM ET,Creighton University,Yes,6,6,3,85,76
3/19/2023,08:47PM ET,University of Miami,Yes,5,5,4,85,69
3/19/2023,06:10PM ET,University of Connecticut,Yes,4,4,5,70,55
3/19/2023,09:52PM ET,Gonzaga University,Yes,3,3,6,84,81
3/19/2023,02:55PM ET,Kansas State University,Yes,3,3,6,75,69
3/19/2023,12:10PM ET,Xavier University,Yes,3,3,11,84,73
3/19/2023,08:06PM ET,Florida Atlantic University,Yes,9,9,16,78,70
3/23/2023,10:04PM ET,Gonzaga University,Yes,3,3,2,79,76
3/23/2023,09:36PM ET,Florida Atlantic University,Yes,9,9,4,62,55
3/23/2023,06:30PM ET,Kansas State University,Yes,3,3,7,98,93
3/23/2023,07:15PM ET,University of Connecticut,Yes,4,4,8,88,65
3/24/2023,06:30PM ET,San Diego State University,Yes,5,5,1,71,64
3/24/2023,07:15PM ET,University of Miami,Yes,5,5,1,89,75
3/24/2023,09:59PM ET,University of Texas at Austin,Yes,2,2,3,83,71
3/24/2023,09:27PM ET,Creighton University,Yes,6,6,15,86,75
3/25/2023,08:59PM ET,University of Connecticut,Yes,4,4,3,82,54
3/25/2023,06:09PM ET,Florida Atlantic University,Yes,9,9,3,79,76
3/26/2023,05:10PM ET,University of Miami,Yes,5,5,2,88,81
3/26/2023,02:20PM ET,San Diego State University,Yes,5,5,6,57,56
4/1/2023,09:16PM ET,University of Connecticut,Yes,4,4,5,72,59
4/1/2023,06:09PM ET,San Diego State University,Yes,5,5,9,72,71
4/3/2023,09:20PM ET,University of Connecticut,Yes,4,4,5,76,59
3/14/2023,09:34PM ET,Mississippi State University,No,11,11,11,60,59
3/14/2023,06:40PM ET,Southeast Missouri State,No,16,16,16,75,71
3/15/2023,09:10PM ET,University of Nevada Reno,No,11,11,11,98,73
3/15/2023,06:40PM ET,Texas Southern University,No,16,16,16,84,61
3/16/2023,04:18PM ET,University of Arizona,No,2,15,2,59,55
3/16/2023,12:40PM ET,University of Virginia,No,4,13,4,68,67
3/16/2023,10:16PM ET,Texas A&M,No,7,10,7,76,59
3/16/2023,06:50PM ET,University of Iowa,No,8,9,8,83,75
3/16/2023,04:34PM ET,University of Illinois Urbana-Champaign,No,9,8,9,73,63
3/16/2023,12:15PM ET,West Virginia University,No,9,8,9,67,65
3/16/2023,07:35PM ET,Boise State University,No,10,7,10,75,67
3/16/2023,01:40PM ET,Utah State University,No,10,7,10,76,65
3/16/2023,03:25PM ET,College of Charleston,No,12,5,12,63,57
3/16/2023,07:10PM ET,Oral Roberts University,No,12,5,12,74,51
3/16/2023,09:33PM ET,University of Louisiana at Lafayette,No,13,4,13,58,55
3/16/2023,07:25PM ET,Colgate University,No,15,2,15,81,61
3/16/2023,10:11PM ET,University of North Carolina at Asheville,No,15,2,15,86,53
3/16/2023,02:00PM ET,Howard University,No,16,1,16,96,68
3/16/2023,09:39PM ET,Northern Kentucky University,No,16,1,16,63,52
3/16/2023,03:17PM ET,Texas A&M Corpus Christi,No,16,1,16,96,75
3/17/2023,06:50PM ET,Purdue University,No,1,16,1,63,58
3/17/2023,03:31PM ET,Iowa State University,No,6,11,6,59,41
3/17/2023,09:42PM ET,University of Memphis,No,8,9,8,66,65
3/17/2023,12:15PM ET,University of Southern California,No,10,7,10,72,62
3/17/2023,10:05PM ET,Arizona State University,No,11,6,11,72,70
3/17/2023,03:56PM ET,North Carolina State University,No,11,6,11,72,63
3/17/2023,07:13PM ET,Providence College,No,11,6,11,61,53
3/17/2023,07:55PM ET,Drake University,No,12,5,12,63,56
3/17/2023,02:00PM ET,Virginia Commonwealth University,No,12,5,12,63,51
3/17/2023,04:48PM ET,Iona University,No,13,4,13,87,63
3/17/2023,10:36PM ET,Kent State University,No,13,4,13,71,60
3/17/2023,07:35PM ET,Grand Canyon University,No,14,3,14,82,70
3/17/2023,12:40PM ET,Kennesaw State University,No,14,3,14,72,67
3/17/2023,09:56PM ET,Montana State University,No,14,3,14,77,65
3/17/2023,01:30PM ET,UC Santa Barbara,No,14,3,14,74,56
3/17/2023,02:51PM ET,University of Vermont,No,15,2,15,78,61
3/18/2023,05:25PM ET,University of Kansas,No,1,8,1,72,71
3/18/2023,02:40PM ET,Duke University,No,5,4,5,65,52
3/18/2023,08:50PM ET,Northwestern University,No,7,2,7,68,63
3/18/2023,06:10PM ET,University of Missouri,No,7,15,7,78,63
3/18/2023,10:02PM ET,University of Maryland,No,8,1,8,73,51
3/18/2023,07:10PM ET,Auburn University,No,9,1,9,81,64
3/18/2023,08:17PM ET,Penn State University,No,10,2,10,71,66
3/18/2023,12:10PM ET,Furman University,No,13,5,13,75,52
3/19/2023,05:20PM ET,Marquette University,No,2,7,2,69,60
3/19/2023,07:10PM ET,Baylor University,No,3,6,3,85,76
3/19/2023,08:47PM ET,Indiana University Bloomington,No,4,5,4,85,69
3/19/2023,06:10PM ET,Saint Mary's College,No,5,4,5,70,55
3/19/2023,09:52PM ET,Texas Christian University,No,6,3,6,84,81
3/19/2023,02:55PM ET,University of Kentucky,No,6,3,6,75,69
