School,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023,2/14/2023,2/15/2023,2/16/2023,2/17/2023,2/18/2023,2/19/2023,2/20/2023,2/21/2023,2/22/2023,2/23/2023,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023,3/25/2023,3/26/2023,3/27/2023,3/28/2023,3/29/2023,3/30/2023,3/31/2023,4/1/2023,4/2/2023,4/3/2023,4/4/2023,4/5/2023,4/6/2023,4/7/2023,4/8/2023,4/9/2023,4/10/2023,4/11/2023,4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023
University of Nevada Reno,204919,146350,299036,447172,819682,274753,501468,168079,273343,508824,452153,237792,864140,980216,148010,340348,480660,289026,201823,381773,336060,306945,1674031,1060181,859131,929730,495635,661311,356002,549315,880204,1544993,404182,611179,552557,160168,506263,815995,972656,444701,781352,699135,157047,395225,167567,352550,333434,177517,816156,148035,160859,788347,305075,314771,650622,527649,183932,1151371,465338,555170,267537,425729,1092103,404228,323672,728412,297429,1233460,222016,163613,1125158,784780,917240,2887447,593999,666937,531115,329568,197861,97945,384486,331749,310369,233229,257427,321823,671471,286597,297052,301973,259668,186002,548195,284231,247370,534950,111303,101608,274321,126472,558294,207911,222085,299204,249788,200930,368417,2510145,946925,483557,797998,439914,144695,240909,263384,296547,322390,475196,203582,163898,200723,280211,213517,632979,312262,265148,167581,629159,307383,459359,665738,297004
University of Virginia,440685,626325,1403101,831377,878429,1074295,2150782,858655,874224,2899580,1534835,1314953,1015593,1559764,799634,1045987,1133734,2965572,1570613,1757570,1907852,832776,1231288,1204542,1002985,1035235,1017231,2447018,3391830,3611442,1567102,1323916,1071438,1049491,1726747,707754,996531,2148449,1117413,1334073,1652859,4823329,1264846,1619904,1768718,2344155,1446236,1464936,2500493,1358188,1071930,1573697,2158483,1935183,2388524,2330634,1172651,2420827,2615651,10046809,9769432,2276411,4274927,1901020,2850559,2845524,1821916,5149051,3719505,3654613,2720999,1546932,1425097,2377283,8685312,1723955,2188035,907857,935566,1323793,1457596,818109,1585875,1015849,2098772,1283462,1583539,1092068,1501923,1133270,2708600,1725039,1154906,1281100,864442,1552735,1639533,1154343,1193551,993539,1614791,1435844,2329257,1970851,1774409,1579752,1256349,1498620,1984577,2257680,2519381,1397248,1881505,1463977,1106694,1235125,2012035,1927096,4459078,1350089,5095567,1482098,2552705,1118658,1205322,896825,1694879,1178840,1299262,990873,745797,1559215
Arizona State University,252455,510876,2112199,1709877,2222589,1030202,572788,3162810,2660076,1751917,1405342,3032772,3749922,1576335,1184129,1352384,2028548,2396329,3469967,2435546,1543791,706249,1931012,3034627,1860757,2108103,2971967,1457227,1100494,2387286,2362340,3714802,4121526,2573652,2456996,1155006,1554368,2914489,1845250,2069322,2034869,1599250,1195183,2522647,1295556,2176480,2002109,2218024,1748918,1447782,1549926,2255518,1633610,1368147,1733156,5581379,1134435,1801049,1461338,1422236,2785871,1342798,803296,1027548,1032383,1354845,2250505,2895604,3183970,1206229,2600994,2175367,2114494,6164291,3300226,3401700,1953881,918036,1154744,2206766,1116141,1516182,1121460,614762,514280,985564,1333710,1577495,2282717,1743203,748726,367488,946188,1548835,1302349,1203752,1312343,617008,1147926,1473758,1402582,1120570,1471614,1947720,626103,467096,1128364,1100147,1156974,1173407,1865874,538076,447009,1711060,1601834,1664587,1493783,1467928,1237514,565960,1652921,1689143,1859044,1540024,1337666,577858,519940,2285801,2253595,1874722,1265272,1223589
Duke University,2795925,1346653,932350,3392218,1380584,1939284,4182780,807122,1716906,1752935,4073477,2599830,1188409,3080010,863629,1583379,2197540,1645332,1753718,2000257,4730921,1286794,5425016,3129722,1574332,1903747,2104613,6605449,1590457,2152757,4997972,3021150,2584434,3637896,10658781,4450292,4876994,1770096,1661655,1913119,1810428,5402949,1006403,2144050,7365349,2858087,1299119,1494262,4283283,2803868,4932089,2887626,1604869,2011374,1408547,5354894,3043162,1533571,6522492,3802047,1998206,3074328,7743361,3205032,5400391,2408676,2498195,7041466,7802883,11954068,9063425,2716953,3293612,3437627,9907281,4952341,11474323,1211355,1772640,1872212,1547477,1412820,2315609,1030009,636065,2338025,3057749,2136569,2498583,2827104,2078249,873861,1129379,2665722,1886923,1653853,1285047,943145,9293258,2338405,2877673,1705478,1868885,2119548,1756512,1224793,1566907,2051613,18340808,2479355,1569085,1715301,1557159,1488116,2096789,1701682,4985758,1931202,1062485,508568,1181507,1696718,1297587,1154613,2730307,1251143,2281760,1571942,1919757,2996641,1775198,1195512
Utah State University,181985,280638,663341,478244,229886,129595,425858,181784,268166,515198,574522,398702,473301,320123,179059,279732,706260,539623,557939,392385,732998,155802,223288,143671,335226,470222,234750,617476,136341,573796,417947,802904,748025,305874,723317,1130844,933596,196201,674929,489333,245200,466982,160144,214776,570161,346020,543223,525940,737535,312374,204840,809176,522287,552496,333516,177981,112238,164786,273309,684448,1141209,317679,801970,542160,199363,605749,377454,386949,1393694,2396926,880111,523269,489223,726061,3972229,281315,255856,325539,260332,344785,236434,202433,343445,151167,43171,254172,321179,388759,379664,389273,136481,163965,248752,533058,263912,435364,1162599,291524,125712,507908,389595,274096,440956,297274,176779,132678,342649,347339,325822,289820,155639,201148,71132,414297,292318,246417,383239,255030,129544,149904,327046,433048,330783,398018,208163,201187,102075,224700,134841,329786,267181,184135
University of Kansas,478100,957544,2287038,1214471,1824076,1291859,2016510,622391,1422053,3031313,1345762,1146637,1027800,5030108,1487184,2063824,4838806,1621513,1160438,947143,2929535,1112447,3538427,1093930,849979,1269181,1114021,4545494,1786566,1777501,6867330,2796131,1480508,1376180,2312656,679378,4763678,2039542,920741,1114741,973873,4708511,1341402,1970472,4446249,2224821,1627169,2598146,8058213,1588386,4454084,1910650,1435138,824449,1657214,4484508,1074691,1818819,6076463,4814777,2108914,1946889,2493701,2265345,1398493,2031299,2394930,8339760,6697638,5354718,5393704,1419797,3214860,3587408,8422937,2257446,11517728,2891898,1396325,1116482,812047,1180744,819747,644956,648985,800313,988260,1072685,967460,1647095,3582286,1030636,1640807,1666159,2101810,2161912,1973980,1157179,704965,1024017,690204,820062,863534,1324685,945064,286415,905501,1081810,912815,698676,1315195,337279,242476,976124,1492741,1155133,1312453,940781,339590,201197,1703762,1768473,1433700,3312485,2512768,756224,687449,811943,808083,1343441,745106,952515
North Carolina State University,297567,340837,791320,3060266,1073061,995071,1591289,450613,680608,507661,748564,489479,811141,2320645,496701,765310,1879575,983528,1350171,826271,2629012,1073737,866961,1907375,999036,868916,968898,2160981,738905,1029518,923797,1871079,960051,741358,1789927,580347,1791232,1688313,791990,1178200,2570831,2197934,868595,1060493,1836790,1164134,1074465,1421626,915069,4189356,1602743,1321949,2828785,1501925,944580,3700945,1019093,934523,1474738,844153,628230,469937,475976,348817,1393074,1317205,2350013,2357175,637883,403527,2071277,1012341,760157,1022332,1010650,3111393,486525,302429,884370,1250133,11442816,913505,1350158,253282,204876,584584,879214,889550,658108,653076,383605,542515,1527891,1778483,1022973,1472028,1068652,722079,287640,656065,893658,852558,1015486,1127164,211877,307336,945046,1050397,960421,969108,801879,384523,645363,987557,881640,718099,1341840,1158129,455576,414510,1349719,808108,605511,593489,708967,826753,199710,457685,618646,888364,1302476,559827
University of Miami,655605,1166659,939741,3038425,945609,508068,355473,411045,1831411,1405718,3990184,2577368,2310664,1746485,1039639,3106465,2125124,2577897,3185404,2918599,4345249,1696000,3359321,4859588,2418073,1718867,2968422,2225243,656689,2173029,3835117,2436545,2384854,1204647,2649023,931652,7872340,3203076,1849671,1777479,2008347,3124425,1196811,4751970,2069030,1872907,1919234,2153559,4023634,1136987,2183802,3760471,2490312,1485923,2364999,3198120,1417194,1761092,1800138,1734819,2273426,3096559,6585020,2742390,3955567,2430709,2023856,4197774,4927615,754169,2435346,1560184,1721686,2661314,2318357,7341986,3004029,9990459,7736199,3736207,2636196,2788870,23522518,7823296,34619373,9122038,5410292,6532753,5358795,7689000,18807645,4804405,2872337,2271230,1580541,3242682,2609886,1722527,1171238,1978012,2975267,1965916,1851219,2002879,1201451,966348,2899924,1816125,1636704,2269965,1377823,971628,691709,2611139,1756192,1536273,1375234,1135310,1331159,838494,2064046,1627362,2205937,2567400,2214889,908315,1968710,1730892,1877182,1955124,3099937,1916874
Providence College,1382452,484709,131147,2974363,1282092,316847,1285552,439076,425055,155629,221910,573647,539443,895632,208655,367336,166808,986743,350257,376670,1194253,154978,245726,515326,752944,387500,481350,348781,1574346,665482,382245,1704840,348233,617197,275804,183719,326906,289777,1064800,715637,297696,851487,109901,274817,2024606,951009,331587,310898,2170723,630439,756282,414554,1215567,380676,398393,231103,1610091,543482,252289,1475855,309666,505339,1310888,488864,406470,498425,695128,1587954,523019,169669,1614823,523450,639736,498211,972862,3285726,704385,289144,4107974,1487161,985679,3716710,447492,581058,384811,740289,584664,1841824,842261,675657,539762,328590,565840,725102,220092,245848,259733,299326,206507,247436,164083,464252,520381,377148,167731,225092,121817,189028,165418,218766,323865,184386,38955,414243,499950,205021,161528,291814,217122,179310,379424,441352,212552,111336,311597,65079,105946,156770,155336,163065,213776,113632
Xavier University,267827,611415,189102,268843,203376,338001,1110867,140677,319055,279630,1798568,450815,419652,278813,1835955,362649,385228,1075614,437055,258361,1099116,139560,224298,855397,2431638,648387,183568,1016296,89336,333356,264334,2133263,228022,267203,1177832,143975,1511144,161670,331100,435502,1635901,309357,140367,220019,276208,1469862,214764,268366,1367998,216823,230431,1501832,498450,660026,1632575,347327,222863,398459,322666,2381901,807032,426529,1282424,441812,533936,382103,567183,1896395,1732102,2301535,1079912,557295,552495,516406,1005804,3748162,642091,6052694,719221,747136,767103,965356,4003681,1489341,73322,153804,471035,383787,120870,146443,71655,76047,294691,310224,565321,232124,74092,64718,74411,409595,307130,40459,254554,405673,198545,260991,212575,434270,204433,241179,310210,185853,135960,299473,323821,305384,401329,219705,135874,159196,317664,240286,199059,257162,215904,89311,175477,627911,818863,984130,198267,280486
