"School","Seed","Date","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss"
"Pittsburgh University",11,2023-03-14,"Late Evening","First 4","Yes",0,"No","No","No","No","No","No"
"Texas A&M Corpus Christi",16,2023-03-14,"Late Afternoon","First 4","Yes",0,"No","No","No","No","No","No"
"Arizona State University",11,2023-03-15,"Late Evening","First 4","Yes",0,"No","No","No","No","No","No"
"Fairleigh Dickinson University",16,2023-03-15,"Late Afternoon","First 4","Yes",0,"No","No","No","No","No","No"
"Princeton University",15,2023-03-16,"Mid Afternoon","Round of 64","Yes",13,"Yes","No","Yes","No","No","No"
"Furman University",13,2023-03-16,"Early Afternoon","Round of 64","Yes",9,"Yes","No","Yes","No","No","No"
"Penn State University",10,2023-03-16,"Late Evening","Round of 64","Yes",3,"No","No","Yes","No","No","No"
"Auburn University",9,2023-03-16,"Early Evening","Round of 64","Yes",1,"No","No","Yes","No","No","No"
"University of Arkansas",8,2023-03-16,"Late Afternoon","Round of 64","Yes",-1,"No","No","No","No","Yes","No"
"University of Maryland",8,2023-03-16,"Early Afternoon","Round of 64","Yes",-1,"No","No","No","No","Yes","No"
"Northwestern University",7,2023-03-16,"Early Evening","Round of 64","Yes",-3,"No","No","No","No","Yes","No"
"University of Missouri",7,2023-03-16,"Early Afternoon","Round of 64","Yes",-3,"No","No","No","No","Yes","No"
"San Diego State University",5,2023-03-16,"Mid Afternoon","Round of 64","Yes",-7,"No","No","No","No","Yes","No"
"Duke University",5,2023-03-16,"Early Evening","Round of 64","Yes",-7,"No","No","No","No","Yes","No"
"University of Tennessee Knoxville",4,2023-03-16,"Late Evening","Round of 64","Yes",-9,"No","No","No","No","Yes","No"
"University of Texas at Austin",2,2023-03-16,"Early Evening","Round of 64","Yes",-13,"No","No","No","No","Yes","No"
"UCLA",2,2023-03-16,"Late Evening","Round of 64","Yes",-13,"No","No","No","No","Yes","No"
"University of Kansas",1,2023-03-16,"Early Afternoon","Round of 64","Yes",-15,"No","No","No","No","Yes","No"
"University of Houston",1,2023-03-16,"Late Evening","Round of 64","Yes",-15,"No","No","No","No","Yes","No"
"University of Alabama",1,2023-03-16,"Mid Afternoon","Round of 64","Yes",-15,"No","No","No","No","Yes","No"
"Fairleigh Dickinson University",16,2023-03-17,"Early Evening","Round of 64","Yes",15,"Yes","No","Yes","No","No","No"
"Pittsburgh University",11,2023-03-17,"Mid Afternoon","Round of 64","Yes",5,"Yes","No","Yes","No","No","No"
"Florida Atlantic University",9,2023-03-17,"Late Evening","Round of 64","Yes",1,"No","No","Yes","No","No","No"
"Michigan State University",7,2023-03-17,"Early Afternoon","Round of 64","Yes",-3,"No","No","No","No","Yes","No"
"Texas Christian University",6,2023-03-17,"Late Evening","Round of 64","Yes",-5,"No","No","No","No","Yes","No"
"Creighton University",6,2023-03-17,"Mid Afternoon","Round of 64","Yes",-5,"No","No","No","No","Yes","No"
"University of Kentucky",6,2023-03-17,"Early Evening","Round of 64","Yes",-5,"No","No","No","No","Yes","No"
"University of Miami",5,2023-03-17,"Early Evening","Round of 64","Yes",-7,"No","No","No","No","Yes","No"
"Saint Mary's College",5,2023-03-17,"Early Afternoon","Round of 64","Yes",-7,"No","No","No","No","Yes","No"
"University of Connecticut",4,2023-03-17,"Late Afternoon","Round of 64","Yes",-9,"No","No","No","No","Yes","No"
"Indiana University Bloomington",4,2023-03-17,"Late Evening","Round of 64","Yes",-9,"No","No","No","No","Yes","No"
"Gonzaga University",3,2023-03-17,"Early Evening","Round of 64","Yes",-11,"No","No","No","No","Yes","No"
