data.id,example_num,year,gender,race,bel_1,bel_2,bel_3,bel_4,bel_5,bel_6,bel_2_r,bel_4_r,bel_5_r,rating,explanation,social_support,resp_len
2,1,1,1,4,4,3,4,2,2,4,3,4,4,3,It would be helpful if the response also elaborated and explained the process in words,0,86
2,2,1,1,4,4,3,4,2,2,4,3,4,4,3,It's explained it and provided a number which helps the person with the question,0,82
2,3,1,1,4,4,3,4,2,2,4,3,4,4,5,"This response if very helpful because it provides the numbers, and an explanation of what exactly to do to find the outliers.",0,125
2,4,1,1,4,4,3,4,2,2,4,3,4,4,1,"The person did not include any information, simply just aggressive and said they have the same issue. It would be better to just respond with the correct answer once you figure it out.",1,184
2,5,1,1,4,4,3,4,2,2,4,3,4,4,5,This example provide good evidence and had a good explanation of how to think about the problem,0,95
2,6,1,1,4,4,3,4,2,2,4,3,4,4,4,"This example is helpful, but also asks questions to further understand the idea of the question.",0,96
2,7,1,1,4,4,3,4,2,2,4,3,4,4,4,This response is helpful because it gives the page number that the student can use to reference and solve the problem.,0,118
2,8,1,1,4,4,3,4,2,2,4,3,4,4,3,It would be better if the person also explained the equation rather than just stating it.,0,89
2,9,1,1,4,4,3,4,2,2,4,3,4,4,4,This person explained the problem and also provided an answer so the student would be able to reference it.,0,107
2,10,1,1,4,4,3,4,2,2,4,3,4,4,4,The person provided the page number that the student can use to see examples of the problem they are stuck on.,0,110
2,11,1,1,4,4,3,4,2,2,4,3,4,4,3,This person partially answer the question but did not help with the full problem.,0,81
2,12,1,1,4,4,3,4,2,2,4,3,4,4,5,This person did a good job of explaining the problem and really helped understand what to do to get the answer.,0,111
2,13,1,1,4,4,3,4,2,2,4,3,4,4,5,This response is helpful because it provided the student with a slight explanation and also pointed out which lecture more information can be found in.,0,151
2,14,1,1,4,4,3,4,2,2,4,3,4,4,4,"The response provided an equation and kind of an explanation, as well as where the student can find similar examples",0,116
2,15,1,1,4,4,3,4,2,2,4,3,4,4,3,This response somewhat answered the question but still left room for the person to be confused,0,94
2,16,1,1,4,4,3,4,2,2,4,3,4,4,2,"It could be helpful to say that the person is not alone in their confusion, but ultimately the response did not help",1,116
2,17,1,1,4,4,3,4,2,2,4,3,4,4,5,The person provided an explanation as well as the equations needed to solve the problem,0,87
2,18,1,1,4,4,3,4,2,2,4,3,4,4,4,Brief explanation and page number for further reference,0,55
2,19,1,1,4,4,3,4,2,2,4,3,4,4,4,"The person helped explain the equation used to solve the problem, and provided an example",0,89
2,20,1,1,4,4,3,4,2,2,4,3,4,4,4,The person explained the process very well and proved the equations used to solve,0,81
3,1,1,2,4,2,2,4,3,2,3,4,3,4,3,"I don't really know what observed and expected means, and which SE we are talking about.",0,88
3,2,1,2,4,2,2,4,3,2,3,4,3,4,1,"I learn better when I know why we do things, not just what we should do. It is not explained why we reject the null.",0,116
3,3,1,2,4,2,2,4,3,2,3,4,3,4,5,Its perfectly worded and very respectful.,1,41
3,4,1,2,4,2,2,4,3,2,3,4,3,4,1,"I don't know why they responded to this comment, but it does not help the situation.",0,84
3,5,1,2,4,2,2,4,3,2,3,4,3,4,5,Its perfectly worded and the example makes sense as well.,0,57
3,6,1,2,4,2,2,4,3,2,3,4,3,4,5,It directly references the situation the question is from which I enjoyed.,0,74
3,7,1,2,4,2,2,4,3,2,3,4,3,4,3,"I like that they included the workbook, but its not the most helpful way to answer the comment.",0,95
3,8,1,2,4,2,2,4,3,2,3,4,3,4,3,"I can understand it, but someone new to the subject would not know what to do.",0,78
3,9,1,2,4,2,2,4,3,2,3,4,3,4,5,Great in-depth explanation to answer the question.,0,50
3,10,1,2,4,2,2,4,3,2,3,4,3,4,3,It gives a page number for reference but that's really it.,0,58
3,11,1,2,4,2,2,4,3,2,3,4,3,4,2,It answers part of the problem but clearly states further confusion on the IQR.,0,79
3,12,1,2,4,2,2,4,3,2,3,4,3,4,5,Great wording and lots of simple but helpful explaining.,0,56
3,13,1,2,4,2,2,4,3,2,3,4,3,4,5,"Short and to the point, also gives a reference at the end for further help.",0,75
3,14,1,2,4,2,2,4,3,2,3,4,3,4,4,The end of the comment is a little hard to read but the rest is good.,0,69
3,15,1,2,4,2,2,4,3,2,3,4,3,4,4,Answers the question but does not explain why.,0,46
3,16,1,2,4,2,2,4,3,2,3,4,3,4,1,Doesn't help answer the question at all.,0,40
3,17,1,2,4,2,2,4,3,2,3,4,3,4,5,"Perfect wording, and easy to read explanation!",0,46
3,18,1,2,4,2,2,4,3,2,3,4,3,4,4,"Answers question and gives reference, but does not explain why.",0,63
3,19,1,2,4,2,2,4,3,2,3,4,3,4,3,"Doesn't offer a reference to the textbook or lecture video, and seems too clunky.",0,81
3,20,1,2,4,2,2,4,3,2,3,4,3,4,3,States confusion at the end which invalidates the rest of the given information before it.,0,90
4,1,4,1,1,5,1,4,4,1,5,5,2,5,5,It explains exactly how to calculate the z statistic.,0,53
4,2,4,1,1,5,1,4,4,1,5,5,2,5,4,They could have explained more about why the p-value being more than 5 doesn't reject the null.,0,95
4,3,4,1,1,5,1,4,4,1,5,5,2,5,1,The formula for finding high and low outliers should be provided.,0,65
4,4,4,1,1,5,1,4,4,1,5,5,2,5,1,The response to the question is just re-iterating the question. Don't reply someone with the same question they are asking.,0,123
4,5,4,1,1,5,1,4,4,1,5,5,2,5,1,The example provided in the response might not apply or be remembered by the individual asking the question.,0,108
4,6,4,1,1,5,1,4,4,1,5,5,2,5,3,They should provide the exact formula.,0,38
4,7,4,1,1,5,1,4,4,1,5,5,2,5,5,The workbook is a great place to get help!,0,42
4,8,4,1,1,5,1,4,4,1,5,5,2,5,5,Straight forward.,0,17
4,9,4,1,1,5,1,4,4,1,5,5,2,5,5,detailed explanation.,0,21
4,10,4,1,1,5,1,4,4,1,5,5,2,5,5,The workbook is a great place to get questions answered.,0,56
4,11,4,1,1,5,1,4,4,1,5,5,2,5,1,The response just gives the answer to the question without any explanation,0,74
4,12,4,1,1,5,1,4,4,1,5,5,2,5,5,Very detailed.,0,14
4,13,4,1,1,5,1,4,4,1,5,5,2,5,5,Provides two ways to receive answer!,0,36
4,14,4,1,1,5,1,4,4,1,5,5,2,5,5,Provides how to solve the question in great detail.,0,51
4,15,4,1,1,5,1,4,4,1,5,5,2,5,1,Didn't answer the second question.,0,34
4,16,4,1,1,5,1,4,4,1,5,5,2,5,1,Doesn't answer the question,0,27
4,17,4,1,1,5,1,4,4,1,5,5,2,5,5,Detailed explanation,0,20
4,18,4,1,1,5,1,4,4,1,5,5,2,5,5,Straightforward answer.,0,23
4,19,4,1,1,5,1,4,4,1,5,5,2,5,5,Straightforward with the formula.,0,33
4,20,4,1,1,5,1,4,4,1,5,5,2,5,5,Gives a verbal explanation as well as formulas.,0,47
5,1,1,1,4,4,1,4,2,1,5,5,4,5,4,"Simple, but no example provided.",0,32
5,2,1,1,4,4,1,4,2,1,5,5,4,5,2,Too simple and with an offputting tone,1,38
5,3,1,1,4,4,1,4,2,1,5,5,4,5,5,Descript and easy to visualize,0,30
5,4,1,1,4,4,1,4,2,1,5,5,4,5,1,Just agreeing with the question does not help.,0,46
5,5,1,1,4,4,1,4,2,1,5,5,4,5,4,"While I can't see the attachment, it would likely be helpful to see the visualization",0,85
5,6,1,1,4,4,1,4,2,1,5,5,4,5,3,The example should also provide an answer since this is not a face to face conversation where the person might be able to answer directly.,0,138
5,7,1,1,4,4,1,4,2,1,5,5,4,5,2,Kindly worded but ultimately the person likely consulted their workbook while doing the homework so this does not really help.,1,126
5,8,1,1,4,4,1,4,2,1,5,5,4,5,5,Answers the question simply with the formula needed.,0,52
5,9,1,1,4,4,1,4,2,1,5,5,4,5,5,Provides a walk through in a clear order.,0,41
5,10,1,1,4,4,1,4,2,1,5,5,4,5,3,Looking at examples is helpful but ultimately probably not as helpful as responding with tips would be.,0,103
5,11,1,1,4,4,1,4,2,1,5,5,4,5,4,Easy to understand but the last part seems unnecessary.,0,55
5,12,1,1,4,4,1,4,2,1,5,5,4,5,5,Nicely worded and easy to understand,0,36
5,13,1,1,4,4,1,4,2,1,5,5,4,5,5,Gives an explanation as well as another method of learning the info,0,67
5,14,1,1,4,4,1,4,2,1,5,5,4,5,3,"Its a bit confusing the way that the ""process"" is explained",0,59
5,15,1,1,4,4,1,4,2,1,5,5,4,5,3,Doesnt answer the second question,0,33
5,16,1,1,4,4,1,4,2,1,5,5,4,5,1,"Just agreeing doesn't help, but the question is not very specific either.",0,73
5,17,1,1,4,4,1,4,2,1,5,5,4,5,5,Easy to follow steps,0,20
5,18,1,1,4,4,1,4,2,1,5,5,4,5,5,Provides the answer as well as another place to look for more help,0,66
5,19,1,1,4,4,1,4,2,1,5,5,4,5,3,Confusing layout with so many numbers.,0,38
5,20,1,1,4,4,1,4,2,1,5,5,4,5,3,Very confusing with all the numbers but the example is appreciated.,0,67
6,1,2,1,1,4,1,4,1,1,5,5,5,5,5,It provides the exact formula that is needed to answer the question.,0,68
6,2,2,1,1,4,1,4,1,1,5,5,5,5,5,The answer explains the confusion as well as defines the rule while highlighting the most important word by capitalizing it.,0,124
6,3,2,1,1,4,1,4,1,1,5,5,5,5,3,The answer gives a step by step approach to what each verticle line represents but doesn't necessarily explain what the outliers are on the box plot.,0,149
6,4,2,1,1,4,1,4,1,1,5,5,5,5,1,The answer that is given doesn't answer the question but rather just says they need help as well.,0,97
6,5,2,1,1,4,1,4,1,1,5,5,5,5,5,"The answer included a definition, an example, and recorded the definition in simpler terms.",0,91
6,6,2,1,1,4,1,4,1,1,5,5,5,5,5,They provided a definition and am example.,0,42
6,7,2,1,1,4,1,4,1,1,5,5,5,5,4,They provided a reference but didn't provide a explanation directly.,0,68
6,8,2,1,1,4,1,4,1,1,5,5,5,5,5,Simple and straightforward. Provides the equation directly.,0,59
6,9,2,1,1,4,1,4,1,1,5,5,5,5,5,"They reassured the person they weren't alone. Provided a definition, process, and an example.",1,93
6,10,2,1,1,4,1,4,1,1,5,5,5,5,4,"Similar to example 8, provided a reference by not an example directly.",0,70
6,11,2,1,1,4,1,4,1,1,5,5,5,5,4,"It answers the question, but follows up with another. That question should have been asked separately.",0,102
6,12,2,1,1,4,1,4,1,1,5,5,5,5,5,Provided a definition and example.,0,34
6,13,2,1,1,4,1,4,1,1,5,5,5,5,5,Defines it and provides a reference if the person is still confused.,0,68
6,14,2,1,1,4,1,4,1,1,5,5,5,5,5,Reference and example provided.,0,31
6,15,2,1,1,4,1,4,1,1,5,5,5,5,3,Answered the first part of the question but not the second part.,0,64
6,16,2,1,1,4,1,4,1,1,5,5,5,5,1,"The person is saying they aren't alone, but didn't provide any help.",1,68
6,17,2,1,1,4,1,4,1,1,5,5,5,5,5,Step by step approach to question,0,33
6,18,2,1,1,4,1,4,1,1,5,5,5,5,5,Provides answer and where the answer was found,0,46
6,19,2,1,1,4,1,4,1,1,5,5,5,5,5,Provides equation ending example.,0,33
6,20,2,1,1,4,1,4,1,1,5,5,5,5,5,Provides a step-by-step process on how to approach the problem.,0,63
7,1,2,1,5,3,1,5,3,1,3,5,3,5,3,"I think it is good to just give an explanation, but to be very helpful I would expect some type of explanation with it.",0,119
7,2,2,1,5,3,1,5,3,1,3,5,3,5,4,clearly explains the reasoning. However they could say what the value is in the problem.,0,88
7,3,2,1,5,3,1,5,3,1,3,5,3,5,5,Clear and detailed explanation,0,30
