Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
.hack//Infection Part 1,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,CyberConnect2,T,x,,x
.hack//Mutation Part 2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,T,x,,x
.hack//Outbreak Part 3,2002.0,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70.0,23.0,8.7,19.0,CyberConnect2,T,x,,x
[Prototype],2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,Radical Entertainment,M,,x,x
[Prototype],2009.0,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,Radical Entertainment,M,,x,x
[Prototype 2],2012.0,Action,Activision,0.48,0.24,0.0,0.07,0.79,74.0,69.0,7.0,173.0,Radical Entertainment,M,,x,x
[Prototype 2],2012.0,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,39.0,6.8,179.0,Radical Entertainment,M,,x,x
[Prototype 2],2012.0,Action,Activision,0.07,0.03,0.0,0.01,0.11,76.0,12.0,6.4,389.0,Radical Entertainment,M,,x,x
007: Quantum of Solace,2008.0,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.0,69.0,7.1,71.0,Treyarch,T,,x,
007: Quantum of Solace,2008.0,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,Treyarch,T,,x,
007: Quantum of Solace,2008.0,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,Treyarch,T,,x,
007: Quantum of Solace,2008.0,Action,Activision,0.01,0.01,0.0,0.0,0.03,70.0,18.0,6.3,55.0,Treyarch,T,,x,
007: The World is not Enough,2000.0,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,Black Ops Entertainment,T,,x,
007 Racing,2000.0,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51.0,16.0,4.6,14.0,Eutechnyx,T,,x,
100 Classic Books,2008.0,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6.0,12.0,Genius Sonority Inc.,N/A,,x,
15 Days,2009.0,Adventure,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,63.0,6.0,5.8,8.0,DTP Entertainment,N/A,x,x,
1701 A.D.,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0,Related Designs,E10+,,x,
187: Ride or Die,2005.0,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,52.0,33.0,6.8,12.0,Ubisoft,M,,x,
187: Ride or Die,2005.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,40.0,6.9,8.0,Ubisoft Paris,M,,x,
18 Wheeler: American Pro Trucker,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61.0,11.0,5.7,18.0,Acclaim Studios Cheltenham,E,,x,
18 Wheeler: American Pro Trucker,2002.0,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52.0,17.0,6.8,8.0,Acclaim Studios Cheltenham,E,,x,
1 vs. 100,2008.0,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0,ECI,E,,x,
2002 FIFA World Cup,2002.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports,E,,x,
2002 FIFA World Cup,2002.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,79.0,17.0,9.0,4.0,Software Creations,E,,x,
2002 FIFA World Cup,2002.0,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,78.0,9.0,7.7,6.0,EA Sports,E,,x,
2010 FIFA World Cup South Africa,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,EA Canada,E,,x,
2010 FIFA World Cup South Africa,2010.0,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0,Electronic Arts,E,,x,
2010 FIFA World Cup South Africa,2010.0,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69.0,11.0,7.4,9.0,Electronic Arts,E,,x,
2010 FIFA World Cup South Africa,2010.0,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70.0,19.0,6.7,11.0,Electronic Arts,E,,x,
2014 FIFA World Cup Brazil,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E,,x,
2014 FIFA World Cup Brazil,2014.0,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,29.0,4.4,93.0,EA Canada,E,,x,
24: The Game,2006.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,53.0,8.2,40.0,SCE Studio Cambridge,M,,x,
25 to Life,2006.0,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39.0,23.0,4.9,46.0,"Ritual Entertainment, Avalanche Software",M,,x,
25 to Life,2006.0,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,20.0,7.2,13.0,"Ritual Entertainment, Avalanche Software",M,,x,
300: March to Glory,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55.0,31.0,7.1,14.0,Collision Studios,M,,x,
3D Dot Game Heroes,2009.0,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96.0,Silicon Studio,E10+,,x,
4x4 EVO 2,2001.0,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,59.0,15.0,6.2,5.0,Terminal Reality,E,,x,
50 Cent: Blood on the Sand,2009.0,Shooter,THQ,0.12,0.07,0.0,0.02,0.21,71.0,54.0,6.4,64.0,Swordfish Studios,M,,x,x
50 Cent: Blood on the Sand,2009.0,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72.0,37.0,7.2,57.0,Swordfish Studios,M,,x,x
50 Cent: Bulletproof,2005.0,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47.0,21.0,6.6,129.0,Genuine Games,M,,x,x
50 Cent: Bulletproof,2005.0,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50.0,14.0,5.9,21.0,Genuine Games,M,,x,x
7 Days to Die,2016.0,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0,The Fun Pimps Entertainment LLC,M,,x,
7 Days to Die,2016.0,Action,Telltale Games,0.03,0.02,0.0,0.0,0.05,35.0,17.0,5.2,74.0,The Fun Pimps Entertainment LLC,M,,x,
7th Dragon III Code: VFD,2015.0,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0,Sega,T,,x,
7 Wonders of the Ancient World,2007.0,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60.0,7.0,8.3,48.0,Hot Lava Games,E,,x,
A Boy and His Blob,2009.0,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,80.0,43.0,8.7,35.0,WayForward,E,,x,
AC/DC LIVE: Rock Band Track Pack,2008.0,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60.0,12.0,5.3,14.0,Harmonix Music Systems,T,,x,
AC/DC LIVE: Rock Band Track Pack,2008.0,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63.0,16.0,4.9,10.0,Harmonix Music Systems,T,,x,
Academy of Champions: Soccer,2009.0,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,20.0,6.8,14.0,Ubisoft Vancouver,E,,x,
Ace Attorney Investigations: Miles Edgeworth,2009.0,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0,Capcom,T,,x,
Ace Combat: Assault Horizon,2011.0,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0,Project Aces,T,,x,
