year,team,games,win,lose,tie,runs scored,runs allowed
2020,Dinos,144,83,55,6,888,714
2020,Wiz,144,81,62,1,813,715
2020,Bears,144,79,61,4,816,695
2020,Twins,144,79,61,4,802,694
2020,Heros,144,80,63,1,759,692
2020,Tigers,144,73,71,0,724,795
2020,Giants,144,71,72,1,750,720
2020,Lions,144,64,75,5,699,745
2020,Landers,144,51,92,1,634,846
2020,Eagles,144,46,95,3,551,820
2019,Landers,144,88,55,1,655,546
2019,Bears,144,88,55,1,736,550
2019,Heros,144,86,57,1,780,572
2019,Dinos,144,73,69,2,674,631
2019,Twins,144,78,64,2,641,633
2019,Tigers,144,62,79,3,605,723
2019,Wiz,144,71,70,3,650,661
2019,Giants,144,48,93,3,578,764
2019,Eagles,144,58,86,0,607,737
2019,Lions,144,60,83,1,622,731
2018,Bears,144,93,51,0,944,756
2018,Landers,144,78,65,1,829,729
2018,Heros,144,74,69,1,825,780
2018,Tigers,144,70,74,0,865,826
2018,Giants,144,68,74,2,821,846
2018,Lions,144,68,72,4,776,802
2018,Twins,144,68,75,1,788,816
2018,Eagles,144,77,67,0,729,761
2018,Wiz,144,59,81,4,757,834
2018,Dinos,144,58,85,1,660,844
2017,Bears,144,84,57,3,849,678
2017,Tigers,144,87,56,1,906,743
2017,Giants,144,80,62,2,743,701
2017,Dinos,144,79,62,3,786,745
2017,Heros,144,69,73,2,789,764
2017,Twins,144,69,72,3,699,677
2017,Landers,144,75,68,1,761,767
2017,Eagles,144,61,81,2,737,820
2017,Lions,144,55,84,5,757,911
2017,Wiz,144,50,94,0,655,876
2016,Bears,144,93,50,1,935,682
2016,Dinos,144,83,58,3,857,690
2016,Heros,144,77,66,1,813,757
2016,Tigers,144,71,73,0,803,785
2016,Lions,144,65,78,1,852,869
2016,Twins,144,71,71,2,786,807
2016,Landers,144,69,75,0,753,784
2016,Eagles,144,67,75,2,826,908
2016,Giants,144,66,78,0,777,865
2016,Wiz,144,53,89,2,672,927
2015,Dinos,144,84,57,3,844,655
2015,Lions,144,88,56,0,897,716
2015,Heros,144,78,65,1,904,790
2015,Bears,144,79,65,0,807,776
2015,Landers,144,69,73,2,693,724
2015,Giants,144,66,77,1,765,802
2015,Twins,144,64,78,2,653,721
2015,Eagles,144,68,76,0,717,800
2015,Tigers,144,67,77,0,648,739
2015,Wiz,144,52,91,1,670,875
2014,Lions,128,78,47,3,812,621
2014,Dinos,128,70,57,1,737,608
2014,Heros,128,78,48,2,841,716
2014,Twins,128,62,64,2,667,643
2014,Giants,128,57,68,3,716,705
2014,Landers,128,61,65,2,735,760
2014,Bears,128,59,68,1,687,733
2014,Tigers,128,54,74,0,662,788
2014,Eagles,128,49,77,2,619,889
2013,Lions,128,75,51,2,669,545
2013,Twins,128,74,54,0,616,510
2013,Bears,128,71,54,3,699,625
2013,Heros,128,72,54,2,646,576
2013,Landers,128,62,63,3,588,571
2013,Giants,128,66,58,4,556,553
2013,Dinos,128,52,72,4,512,551
2013,Tigers,128,51,74,3,587,711
2013,Eagles,128,42,85,1,480,711
2012,Lions,133,80,51,2,628,473
2012,Landers,133,71,59,3,564,528
2012,Bears,133,68,62,3,524,519
2012,Heros,133,61,69,3,549,551
2012,Giants,133,65,62,6,509,518
2012,Tigers,133,62,65,6,553,564
2012,Twins,133,57,72,4,544,580
2012,Eagles,133,53,77,3,509,647
2011,Lions,133,79,50,4,625,513
2011,Giants,133,72,56,5,713,619
2011,Landers,133,71,59,3,584,522
2011,Tigers,133,70,63,0,627,580
2011,Bears,133,61,70,2,614,619
2011,Twins,133,59,72,2,579,620
2011,Heros,133,51,80,2,512,622
2011,Eagles,133,59,72,2,568,727
2010,Landers,133,84,47,2,704,545
2010,Lions,133,79,52,2,681,575
2010,Bears,133,73,57,3,731,669
2010,Giants,133,69,61,3,773,710
2010,Tigers,133,59,74,0,611,641
2010,Twins,133,57,71,5,688,746
2010,Heros,133,52,78,3,570,652
2010,Eagles,133,49,82,2,543,763
2009,Landers,133,80,47,6,732,550
2009,Tigers,133,81,48,4,706,581
2009,Bears,133,71,60,2,722,662
2009,Lions,133,64,69,0,685,700
2009,Giants,133,66,67,0,637,669
2009,Heros,133,60,72,1,683,762
2009,Twins,133,54,75,4,670,763
2009,Eagles,133,46,84,3,657,805
2008,Landers,126,83,43,0,632,461
2008,Giants,126,69,57,0,624,518
2008,Bears,126,70,56,0,647,542
2008,Eagles,126,64,62,0,592,595
2008,Lions,126,65,61,0,557,596
2008,Tigers,126,57,69,0,503,555
2008,Heros,126,50,76,0,499,609
2008,Twins,126,46,80,0,468,646
2007,Landers,126,73,48,5,603,465
2007,Bears,126,70,54,2,578,480
2007,Eagles,126,67,57,2,534,481
2007,Lions,126,62,60,4,497,509
2007,Giants,126,55,68,3,533,554
2007,Twins,126,58,62,6,532,600
2007,Unicorns,126,56,69,1,530,615
2007,Tigers,126,51,74,1,499,602
2006,Unicorns,126,70,55,1,547,467
2006,Lions,126,73,50,3,538,471
2006,Eagles,126,67,57,2,511,475
2006,Tigers,126,64,59,3,476,451
2006,Bears,126,63,60,3,455,467
2006,Landers,126,60,65,1,509,535
2006,Giants,126,50,73,3,488,541
2006,Twins,126,47,75,4,457,574
2005,Bears,126,72,51,3,596,465
2005,Landers,126,70,50,6,589,485
2005,Lions,126,74,48,4,614,528
2005,Eagles,126,64,61,1,622,603
2005,Twins,126,54,71,1,601,666
2005,Giants,126,58,67,1,500,573
2005,Unicorns,126,53,70,3,563,647
