Category: All categories

Week,Jacksonville Jaguars: (United States)
2021-08-01,10
2021-08-08,14
2021-08-15,17
2021-08-22,24
2021-08-29,16
2021-09-05,22
2021-09-12,4
2021-09-19,16
2021-09-26,22
2021-10-03,14
2021-10-10,13
2021-10-17,16
2021-10-24,7
2021-10-31,8
2021-11-07,5
2021-11-14,11
2021-11-21,0
2021-11-28,0
2021-12-05,9
2021-12-12,24
2021-12-19,8
2021-12-26,16
2022-01-02,10
2022-01-09,22
2022-01-16,16
2022-01-23,26
2022-01-30,21
2022-02-06,10
2022-02-13,7
2022-02-20,5
2022-02-27,7
2022-03-06,12
2022-03-13,24
2022-03-20,10
2022-03-27,6
2022-04-03,5
2022-04-10,3
2022-04-17,0
2022-04-24,12
2022-05-01,10
2022-05-08,5
2022-05-15,6
2022-05-22,7
2022-05-29,8
2022-06-05,0
2022-06-12,0
2022-06-19,4
2022-06-26,0
2022-07-03,4
2022-07-10,6
2022-07-17,10
2022-07-24,14
2022-07-31,8
2022-08-07,10
2022-08-14,0
2022-08-21,18
2022-08-28,17
2022-09-04,11
2022-09-11,0
2022-09-18,19
2022-09-25,18
2022-10-02,18
2022-10-09,3
2022-10-16,12
2022-10-23,19
2022-10-30,20
2022-11-06,5
2022-11-13,0
2022-11-20,6
2022-11-27,18
2022-12-04,0
2022-12-11,11
2022-12-18,40
2022-12-25,33
2023-01-01,19
2023-01-08,44
2023-01-15,100
2023-01-22,26
2023-01-29,9
2023-02-05,6
2023-02-12,11
2023-02-19,7
2023-02-26,5
