Category: All categories

Week,Buffalo Bills: (United States)
2021-08-01,2
2021-08-08,1
2021-08-15,1
2021-08-22,2
2021-08-29,3
2021-09-05,3
2021-09-12,1
2021-09-19,1
2021-09-26,2
2021-10-03,2
2021-10-10,3
2021-10-17,2
2021-10-24,1
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,1
2021-12-05,3
2021-12-12,2
2021-12-19,1
2021-12-26,2
2022-01-02,2
2022-01-09,3
2022-01-16,5
2022-01-23,6
2022-01-30,1
2022-02-06,<1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,3
2022-03-20,2
2022-03-27,2
2022-04-03,1
2022-04-10,<1
2022-04-17,1
2022-04-24,3
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,<1
2022-06-05,<1
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,<1
2022-07-17,0
2022-07-24,1
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,3
2022-08-28,4
2022-09-04,6
2022-09-11,1
2022-09-18,7
2022-09-25,3
2022-10-02,2
2022-10-09,3
2022-10-16,3
2022-10-23,2
2022-10-30,4
2022-11-06,3
2022-11-13,6
2022-11-20,5
2022-11-27,3
2022-12-04,2
2022-12-11,4
2022-12-18,5
2022-12-25,3
2023-01-01,100
2023-01-08,4
2023-01-15,7
2023-01-22,6
2023-01-29,1
2023-02-05,1
2023-02-12,<1
2023-02-19,1
2023-02-26,1
