Category: All categories

Week,New England Patriots: (United States)
2021-08-01,30
2021-08-08,26
2021-08-15,38
2021-08-22,32
2021-08-29,92
2021-09-05,66
2021-09-12,15
2021-09-19,50
2021-09-26,62
2021-10-03,66
2021-10-10,34
2021-10-17,30
2021-10-24,50
2021-10-31,78
2021-11-07,72
2021-11-14,100
2021-11-21,35
2021-11-28,50
2021-12-05,96
2021-12-12,42
2021-12-19,62
2021-12-26,42
2022-01-02,52
2022-01-09,75
2022-01-16,56
2022-01-23,34
2022-01-30,52
2022-02-06,18
2022-02-13,25
2022-02-20,18
2022-02-27,12
2022-03-06,37
2022-03-13,33
2022-03-20,43
2022-03-27,50
2022-04-03,37
2022-04-10,25
2022-04-17,14
2022-04-24,58
2022-05-01,45
2022-05-08,32
2022-05-15,21
2022-05-22,22
2022-05-29,21
2022-06-05,6
2022-06-12,8
2022-06-19,8
2022-06-26,15
2022-07-03,17
2022-07-10,11
2022-07-17,16
2022-07-24,17
2022-07-31,39
2022-08-07,29
2022-08-14,39
2022-08-21,40
2022-08-28,38
2022-09-04,16
2022-09-11,42
2022-09-18,28
2022-09-25,38
2022-10-02,43
2022-10-09,39
2022-10-16,46
2022-10-23,81
2022-10-30,25
2022-11-06,25
2022-11-13,27
2022-11-20,69
2022-11-27,48
2022-12-04,20
2022-12-11,68
2022-12-18,85
2022-12-25,37
2023-01-01,45
2023-01-08,58
2023-01-15,27
2023-01-22,33
2023-01-29,21
2023-02-05,0
2023-02-12,31
2023-02-19,29
2023-02-26,16
