Category: All categories

Week,Miami Dolphins: (United States)
2021-08-01,13
2021-08-08,22
2021-08-15,27
2021-08-22,19
2021-08-29,45
2021-09-05,17
2021-09-12,7
2021-09-19,35
2021-09-26,25
2021-10-03,27
2021-10-10,32
2021-10-17,36
2021-10-24,34
2021-10-31,19
2021-11-07,25
2021-11-14,15
2021-11-21,25
2021-11-28,15
2021-12-05,28
2021-12-12,17
2021-12-19,25
2021-12-26,36
2022-01-02,25
2022-01-09,47
2022-01-16,10
2022-01-23,26
2022-01-30,45
2022-02-06,31
2022-02-13,21
2022-02-20,14
2022-02-27,14
2022-03-06,23
2022-03-13,36
2022-03-20,58
2022-03-27,27
2022-04-03,27
2022-04-10,16
2022-04-17,10
2022-04-24,19
2022-05-01,11
2022-05-08,2
2022-05-15,14
2022-05-22,0
2022-05-29,7
2022-06-05,9
2022-06-12,7
2022-06-19,0
2022-06-26,11
2022-07-03,10
2022-07-10,7
2022-07-17,6
2022-07-24,17
2022-07-31,27
2022-08-07,16
2022-08-14,20
2022-08-21,25
2022-08-28,33
2022-09-04,42
2022-09-11,28
2022-09-18,38
2022-09-25,100
2022-10-02,26
2022-10-09,23
2022-10-16,47
2022-10-23,31
2022-10-30,34
2022-11-06,31
2022-11-13,28
2022-11-20,19
2022-11-27,34
2022-12-04,28
2022-12-11,42
2022-12-18,41
2022-12-25,36
2023-01-01,29
2023-01-08,42
2023-01-15,52
2023-01-22,22
2023-01-29,22
2023-02-05,10
2023-02-12,13
2023-02-19,21
2023-02-26,22
