Category: All categories

Week,Detroit Lions: (United States)
2021-08-01,33
2021-08-08,32
2021-08-15,42
2021-08-22,39
2021-08-29,51
2021-09-05,42
2021-09-12,14
2021-09-19,69
2021-09-26,72
2021-10-03,52
2021-10-10,23
2021-10-17,26
2021-10-24,30
2021-10-31,44
2021-11-07,31
2021-11-14,43
2021-11-21,64
2021-11-28,21
2021-12-05,64
2021-12-12,35
2021-12-19,34
2021-12-26,46
2022-01-02,20
2022-01-09,41
2022-01-16,20
2022-01-23,28
2022-01-30,26
2022-02-06,21
2022-02-13,48
2022-02-20,20
2022-02-27,17
2022-03-06,43
2022-03-13,73
2022-03-20,41
2022-03-27,39
2022-04-03,29
2022-04-10,49
2022-04-17,43
2022-04-24,100
2022-05-01,32
2022-05-08,20
2022-05-15,19
2022-05-22,17
2022-05-29,55
2022-06-05,12
2022-06-12,5
2022-06-19,23
2022-06-26,33
2022-07-03,18
2022-07-10,12
2022-07-17,13
2022-07-24,27
2022-07-31,26
2022-08-07,47
2022-08-14,47
2022-08-21,35
2022-08-28,84
2022-09-04,50
2022-09-11,36
2022-09-18,44
2022-09-25,58
2022-10-02,45
2022-10-09,97
2022-10-16,36
2022-10-23,57
2022-10-30,31
2022-11-06,34
2022-11-13,43
2022-11-20,72
2022-11-27,45
2022-12-04,60
2022-12-11,71
2022-12-18,81
2022-12-25,24
2023-01-01,68
2023-01-08,92
2023-01-15,34
2023-01-22,17
2023-01-29,9
2023-02-05,27
2023-02-12,20
2023-02-19,0
2023-02-26,50
