Category: All categories

Week,Cincinnati Bengals: (United States)
2021-08-01,0
2021-08-08,1
2021-08-15,3
2021-08-22,4
2021-08-29,0
2021-09-05,2
2021-09-12,1
2021-09-19,2
2021-09-26,8
2021-10-03,2
2021-10-10,2
2021-10-17,5
2021-10-24,4
2021-10-31,5
2021-11-07,3
2021-11-14,1
2021-11-21,0
2021-11-28,4
2021-12-05,4
2021-12-12,4
2021-12-19,3
2021-12-26,7
2022-01-02,9
2022-01-09,11
2022-01-16,9
2022-01-23,20
2022-01-30,29
2022-02-06,11
2022-02-13,25
2022-02-20,2
2022-02-27,3
2022-03-06,3
2022-03-13,10
2022-03-20,8
2022-03-27,2
2022-04-03,3
2022-04-10,5
2022-04-17,3
2022-04-24,2
2022-05-01,3
2022-05-08,4
2022-05-15,2
2022-05-22,2
2022-05-29,1
2022-06-05,1
2022-06-12,1
2022-06-19,0
2022-06-26,1
2022-07-03,1
2022-07-10,4
2022-07-17,2
2022-07-24,3
2022-07-31,3
2022-08-07,3
2022-08-14,3
2022-08-21,6
2022-08-28,4
2022-09-04,3
2022-09-11,5
2022-09-18,5
2022-09-25,13
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,9
2022-11-06,3
2022-11-13,1
2022-11-20,3
2022-11-27,4
2022-12-04,7
2022-12-11,6
2022-12-18,5
2022-12-25,7
2023-01-01,100
2023-01-08,8
2023-01-15,21
2023-01-22,19
2023-01-29,34
2023-02-05,5
2023-02-12,4
2023-02-19,1
2023-02-26,1
