Category: All categories

Week,New Orleans Saints: (United States)
2021-08-01,26
2021-08-08,24
2021-08-15,23
2021-08-22,59
2021-08-29,46
2021-09-05,58
2021-09-12,24
2021-09-19,46
2021-09-26,53
2021-10-03,33
2021-10-10,33
2021-10-17,33
2021-10-24,60
2021-10-31,100
2021-11-07,56
2021-11-14,33
2021-11-21,80
2021-11-28,57
2021-12-05,25
2021-12-12,25
2021-12-19,45
2021-12-26,41
2022-01-02,52
2022-01-09,56
2022-01-16,16
2022-01-23,42
2022-01-30,37
2022-02-06,22
2022-02-13,27
2022-02-20,17
2022-02-27,9
2022-03-06,25
2022-03-13,55
2022-03-20,48
2022-03-27,33
2022-04-03,36
2022-04-10,23
2022-04-17,20
2022-04-24,50
2022-05-01,43
2022-05-08,22
2022-05-15,22
2022-05-22,20
2022-05-29,18
2022-06-05,0
2022-06-12,14
2022-06-19,17
2022-06-26,8
2022-07-03,9
2022-07-10,16
2022-07-17,7
2022-07-24,24
2022-07-31,11
2022-08-07,34
2022-08-14,31
2022-08-21,38
2022-08-28,39
2022-09-04,26
2022-09-11,37
2022-09-18,57
2022-09-25,31
2022-10-02,36
2022-10-09,11
2022-10-16,55
2022-10-23,35
2022-10-30,22
2022-11-06,41
2022-11-13,42
2022-11-20,24
2022-11-27,35
2022-12-04,29
2022-12-11,30
2022-12-18,47
2022-12-25,35
2023-01-01,22
2023-01-08,16
2023-01-15,23
2023-01-22,24
2023-01-29,29
2023-02-05,27
2023-02-12,19
2023-02-19,15
2023-02-26,34
