Category: All categories

Week,New York Jets: (United States)
2021-08-01,18
2021-08-08,29
2021-08-15,57
2021-08-22,29
2021-08-29,52
2021-09-05,45
2021-09-12,10
2021-09-19,23
2021-09-26,15
2021-10-03,38
2021-10-10,30
2021-10-17,11
2021-10-24,45
2021-10-31,63
2021-11-07,20
2021-11-14,31
2021-11-21,35
2021-11-28,17
2021-12-05,33
2021-12-12,29
2021-12-19,30
2021-12-26,42
2022-01-02,47
2022-01-09,32
2022-01-16,24
2022-01-23,14
2022-01-30,25
2022-02-06,27
2022-02-13,29
2022-02-20,13
2022-02-27,36
2022-03-06,36
2022-03-13,62
2022-03-20,38
2022-03-27,41
2022-04-03,50
2022-04-10,22
2022-04-17,17
2022-04-24,49
2022-05-01,50
2022-05-08,36
2022-05-15,23
2022-05-22,9
2022-05-29,17
2022-06-05,18
2022-06-12,19
2022-06-19,0
2022-06-26,16
2022-07-03,25
2022-07-10,18
2022-07-17,28
2022-07-24,25
2022-07-31,27
2022-08-07,60
2022-08-14,26
2022-08-21,24
2022-08-28,54
2022-09-04,35
2022-09-11,60
2022-09-18,32
2022-09-25,33
2022-10-02,38
2022-10-09,37
2022-10-16,28
2022-10-23,80
2022-10-30,32
2022-11-06,53
2022-11-13,38
2022-11-20,59
2022-11-27,62
2022-12-04,48
2022-12-11,60
2022-12-18,100
2022-12-25,37
2023-01-01,45
2023-01-08,49
2023-01-15,28
2023-01-22,52
2023-01-29,40
2023-02-05,13
2023-02-12,22
2023-02-19,43
2023-02-26,20
