Category: All categories

Week,Washington Commanders: (United States)
2021-08-01,12
2021-08-08,31
2021-08-15,20
2021-08-22,40
2021-08-29,42
2021-09-05,23
2021-09-12,20
2021-09-19,27
2021-09-26,21
2021-10-03,51
2021-10-10,47
2021-10-17,47
2021-10-24,35
2021-10-31,17
2021-11-07,13
2021-11-14,22
2021-11-21,49
2021-11-28,46
2021-12-05,34
2021-12-12,52
2021-12-19,68
2021-12-26,100
2022-01-02,51
2022-01-09,63
2022-01-16,21
2022-01-23,22
2022-01-30,64
2022-02-06,5
2022-02-13,8
2022-02-20,0
2022-02-27,4
2022-03-06,8
2022-03-13,24
2022-03-20,0
2022-03-27,5
2022-04-03,11
2022-04-10,13
2022-04-17,12
2022-04-24,18
2022-05-01,0
2022-05-08,4
2022-05-15,0
2022-05-22,0
2022-05-29,6
2022-06-05,16
2022-06-12,0
2022-06-19,0
2022-06-26,6
2022-07-03,0
2022-07-10,0
2022-07-17,6
2022-07-24,6
2022-07-31,8
2022-08-07,0
2022-08-14,0
2022-08-21,9
2022-08-28,18
2022-09-04,0
2022-09-11,20
2022-09-18,18
2022-09-25,0
2022-10-02,10
2022-10-09,11
2022-10-16,0
2022-10-23,8
2022-10-30,15
2022-11-06,8
2022-11-13,8
2022-11-20,0
2022-11-27,14
2022-12-04,10
2022-12-11,8
2022-12-18,12
2022-12-25,0
2023-01-01,0
2023-01-08,4
2023-01-15,0
2023-01-22,0
2023-01-29,8
2023-02-05,7
2023-02-12,6
2023-02-19,0
2023-02-26,0
