Category: All categories

Week,Houston Texans: (United States)
2021-08-01,41
2021-08-08,48
2021-08-15,90
2021-08-22,12
2021-08-29,70
2021-09-05,38
2021-09-12,16
2021-09-19,100
2021-09-26,39
2021-10-03,36
2021-10-10,50
2021-10-17,38
2021-10-24,50
2021-10-31,98
2021-11-07,31
2021-11-14,48
2021-11-21,29
2021-11-28,9
2021-12-05,27
2021-12-12,35
2021-12-19,36
2021-12-26,36
2022-01-02,49
2022-01-09,33
2022-01-16,24
2022-01-23,55
2022-01-30,43
2022-02-06,36
2022-02-13,9
2022-02-20,15
2022-02-27,37
2022-03-06,22
2022-03-13,91
2022-03-20,39
2022-03-27,25
2022-04-03,30
2022-04-10,9
2022-04-17,19
2022-04-24,63
2022-05-01,24
2022-05-08,28
2022-05-15,29
2022-05-22,21
2022-05-29,0
2022-06-05,24
2022-06-12,0
2022-06-19,15
2022-06-26,14
2022-07-03,21
2022-07-10,7
2022-07-17,27
2022-07-24,17
2022-07-31,18
2022-08-07,31
2022-08-14,25
2022-08-21,40
2022-08-28,48
2022-09-04,31
2022-09-11,44
2022-09-18,23
2022-09-25,24
2022-10-02,8
2022-10-09,19
2022-10-16,36
2022-10-23,20
2022-10-30,43
2022-11-06,0
2022-11-13,10
2022-11-20,28
2022-11-27,24
2022-12-04,42
2022-12-11,47
2022-12-18,37
2022-12-25,20
2023-01-01,24
2023-01-08,46
2023-01-15,28
2023-01-22,20
2023-01-29,64
2023-02-05,38
2023-02-12,29
2023-02-19,22
2023-02-26,28
