Category: All categories

Week,Tampa Bay Buccaneers: (United States)
2021-08-01,7
2021-08-08,8
2021-08-15,18
2021-08-22,8
2021-08-29,29
2021-09-05,59
2021-09-12,4
2021-09-19,25
2021-09-26,53
2021-10-03,49
2021-10-10,40
2021-10-17,18
2021-10-24,28
2021-10-31,20
2021-11-07,19
2021-11-14,29
2021-11-21,21
2021-11-28,25
2021-12-05,19
2021-12-12,19
2021-12-19,38
2021-12-26,30
2022-01-02,69
2022-01-09,67
2022-01-16,100
2022-01-23,88
2022-01-30,34
2022-02-06,22
2022-02-13,10
2022-02-20,4
2022-02-27,7
2022-03-06,16
2022-03-13,31
2022-03-20,29
2022-03-27,12
2022-04-03,10
2022-04-10,9
2022-04-17,13
2022-04-24,21
2022-05-01,29
2022-05-08,9
2022-05-15,9
2022-05-22,9
2022-05-29,11
2022-06-05,6
2022-06-12,8
2022-06-19,8
2022-06-26,0
2022-07-03,10
2022-07-10,8
2022-07-17,11
2022-07-24,17
2022-07-31,0
2022-08-07,19
2022-08-14,18
2022-08-21,27
2022-08-28,24
2022-09-04,30
2022-09-11,34
2022-09-18,38
2022-09-25,58
2022-10-02,26
2022-10-09,29
2022-10-16,20
2022-10-23,35
2022-10-30,25
2022-11-06,21
2022-11-13,10
2022-11-20,20
2022-11-27,18
2022-12-04,33
2022-12-11,38
2022-12-18,22
2022-12-25,42
2023-01-01,18
2023-01-08,23
2023-01-15,80
2023-01-22,18
2023-01-29,13
2023-02-05,8
2023-02-12,6
2023-02-19,5
2023-02-26,5
