Category: All categories

Week,Cleveland Browns: (United States)
2021-08-01,18
2021-08-08,14
2021-08-15,18
2021-08-22,20
2021-08-29,24
2021-09-05,19
2021-09-12,9
2021-09-19,23
2021-09-26,27
2021-10-03,17
2021-10-10,38
2021-10-17,57
2021-10-24,19
2021-10-31,52
2021-11-07,36
2021-11-14,28
2021-11-21,34
2021-11-28,18
2021-12-05,19
2021-12-12,50
2021-12-19,78
2021-12-26,36
2022-01-02,37
2022-01-09,31
2022-01-16,22
2022-01-23,3
2022-01-30,11
2022-02-06,15
2022-02-13,17
2022-02-20,11
2022-02-27,15
2022-03-06,20
2022-03-13,100
2022-03-20,56
2022-03-27,23
2022-04-03,19
2022-04-10,19
2022-04-17,16
2022-04-24,22
2022-05-01,20
2022-05-08,21
2022-05-15,14
2022-05-22,9
2022-05-29,7
2022-06-05,13
2022-06-12,12
2022-06-19,9
2022-06-26,7
2022-07-03,23
2022-07-10,11
2022-07-17,18
2022-07-24,12
2022-07-31,31
2022-08-07,64
2022-08-14,28
2022-08-21,22
2022-08-28,40
2022-09-04,16
2022-09-11,31
2022-09-18,57
2022-09-25,21
2022-10-02,16
2022-10-09,14
2022-10-16,22
2022-10-23,21
2022-10-30,41
2022-11-06,14
2022-11-13,39
2022-11-20,25
2022-11-27,23
2022-12-04,19
2022-12-11,27
2022-12-18,29
2022-12-25,28
2023-01-01,21
2023-01-08,14
2023-01-15,12
2023-01-22,16
2023-01-29,9
2023-02-05,3
2023-02-12,5
2023-02-19,8
2023-02-26,4
