Category: All categories

Week,Arizona Cardinals: (United States)
2021-08-01,19
2021-08-08,11
2021-08-15,0
2021-08-22,26
2021-08-29,21
2021-09-05,18
2021-09-12,7
2021-09-19,19
2021-09-26,18
2021-10-03,33
2021-10-10,65
2021-10-17,27
2021-10-24,100
2021-10-31,33
2021-11-07,24
2021-11-14,9
2021-11-21,24
2021-11-28,32
2021-12-05,19
2021-12-12,41
2021-12-19,54
2021-12-26,40
2022-01-02,35
2022-01-09,44
2022-01-16,94
2022-01-23,23
2022-01-30,14
2022-02-06,10
2022-02-13,0
2022-02-20,18
2022-02-27,7
2022-03-06,0
2022-03-13,21
2022-03-20,34
2022-03-27,39
2022-04-03,0
2022-04-10,9
2022-04-17,6
2022-04-24,9
2022-05-01,9
2022-05-08,7
2022-05-15,6
2022-05-22,0
2022-05-29,0
2022-06-05,8
2022-06-12,0
2022-06-19,14
2022-06-26,14
2022-07-03,5
2022-07-10,0
2022-07-17,6
2022-07-24,0
2022-07-31,31
2022-08-07,29
2022-08-14,24
2022-08-21,34
2022-08-28,22
2022-09-04,29
2022-09-11,25
2022-09-18,38
2022-09-25,29
2022-10-02,34
2022-10-09,22
2022-10-16,47
2022-10-23,13
2022-10-30,25
2022-11-06,36
2022-11-13,15
2022-11-20,63
2022-11-27,0
2022-12-04,15
2022-12-11,26
2022-12-18,27
2022-12-25,29
2023-01-01,19
2023-01-08,37
2023-01-15,20
2023-01-22,30
2023-01-29,16
2023-02-05,0
2023-02-12,25
2023-02-19,22
2023-02-26,6
