Category: All categories

Week,Atlanta Falcons: (United States)
2021-08-01,10
2021-08-08,47
2021-08-15,19
2021-08-22,33
2021-08-29,56
2021-09-05,19
2021-09-12,10
2021-09-19,9
2021-09-26,31
2021-10-03,0
2021-10-10,0
2021-10-17,31
2021-10-24,12
2021-10-31,36
2021-11-07,34
2021-11-14,51
2021-11-21,0
2021-11-28,29
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,32
2022-01-02,27
2022-01-09,13
2022-01-16,30
2022-01-23,19
2022-01-30,32
2022-02-06,0
2022-02-13,10
2022-02-20,14
2022-02-27,20
2022-03-06,13
2022-03-13,76
2022-03-20,100
2022-03-27,26
2022-04-03,30
2022-04-10,0
2022-04-17,25
2022-04-24,59
2022-05-01,32
2022-05-08,25
2022-05-15,36
2022-05-22,18
2022-05-29,16
2022-06-05,19
2022-06-12,14
2022-06-19,0
2022-06-26,10
2022-07-03,18
2022-07-10,0
2022-07-17,15
2022-07-24,32
2022-07-31,36
2022-08-07,41
2022-08-14,52
2022-08-21,44
2022-08-28,41
2022-09-04,55
2022-09-11,47
2022-09-18,31
2022-09-25,32
2022-10-02,40
2022-10-09,37
2022-10-16,54
2022-10-23,7
2022-10-30,56
2022-11-06,46
2022-11-13,11
2022-11-20,16
2022-11-27,18
2022-12-04,19
2022-12-11,28
2022-12-18,45
2022-12-25,15
2023-01-01,0
2023-01-08,16
2023-01-15,0
2023-01-22,14
2023-01-29,7
2023-02-05,10
2023-02-12,11
2023-02-19,44
2023-02-26,22
