Category: All categories

Week,Dallas Cowboys: (United States)
2021-08-01,26
2021-08-08,20
2021-08-15,24
2021-08-22,20
2021-08-29,42
2021-09-05,66
2021-09-12,5
2021-09-19,28
2021-09-26,51
2021-10-03,56
2021-10-10,35
2021-10-17,38
2021-10-24,25
2021-10-31,65
2021-11-07,33
2021-11-14,39
2021-11-21,79
2021-11-28,42
2021-12-05,18
2021-12-12,37
2021-12-19,33
2021-12-26,47
2022-01-02,59
2022-01-09,73
2022-01-16,100
2022-01-23,32
2022-01-30,15
2022-02-06,19
2022-02-13,16
2022-02-20,13
2022-02-27,9
2022-03-06,20
2022-03-13,49
2022-03-20,37
2022-03-27,22
2022-04-03,17
2022-04-10,21
2022-04-17,13
2022-04-24,33
2022-05-01,19
2022-05-08,23
2022-05-15,7
2022-05-22,10
2022-05-29,19
2022-06-05,15
2022-06-12,10
2022-06-19,10
2022-06-26,10
2022-07-03,13
2022-07-10,11
2022-07-17,12
2022-07-24,12
2022-07-31,16
2022-08-07,27
2022-08-14,24
2022-08-21,31
2022-08-28,31
2022-09-04,27
2022-09-11,65
2022-09-18,36
2022-09-25,37
2022-10-02,29
2022-10-09,39
2022-10-16,49
2022-10-23,37
2022-10-30,46
2022-11-06,25
2022-11-13,39
2022-11-20,53
2022-11-27,30
2022-12-04,55
2022-12-11,39
2022-12-18,66
2022-12-25,69
2023-01-01,29
2023-01-08,41
2023-01-15,98
2023-01-22,96
2023-01-29,27
2023-02-05,14
2023-02-12,19
2023-02-19,21
2023-02-26,17
