Category: All categories

Week,Chicago Bears: (United States)
2021-08-01,15
2021-08-08,26
2021-08-15,30
2021-08-22,21
2021-08-29,46
2021-09-05,29
2021-09-12,12
2021-09-19,8
2021-09-26,68
2021-10-03,46
2021-10-10,37
2021-10-17,43
2021-10-24,50
2021-10-31,27
2021-11-07,56
2021-11-14,16
2021-11-21,36
2021-11-28,25
2021-12-05,27
2021-12-12,36
2021-12-19,37
2021-12-26,48
2022-01-02,23
2022-01-09,60
2022-01-16,43
2022-01-23,100
2022-01-30,45
2022-02-06,28
2022-02-13,0
2022-02-20,13
2022-02-27,15
2022-03-06,31
2022-03-13,66
2022-03-20,43
2022-03-27,24
2022-04-03,15
2022-04-10,37
2022-04-17,17
2022-04-24,35
2022-05-01,27
2022-05-08,18
2022-05-15,25
2022-05-22,11
2022-05-29,28
2022-06-05,18
2022-06-12,13
2022-06-19,13
2022-06-26,11
2022-07-03,17
2022-07-10,5
2022-07-17,0
2022-07-24,40
2022-07-31,40
2022-08-07,38
2022-08-14,44
2022-08-21,40
2022-08-28,57
2022-09-04,34
2022-09-11,46
2022-09-18,35
2022-09-25,29
2022-10-02,24
2022-10-09,40
2022-10-16,29
2022-10-23,49
2022-10-30,57
2022-11-06,39
2022-11-13,26
2022-11-20,35
2022-11-27,34
2022-12-04,26
2022-12-11,7
2022-12-18,49
2022-12-25,22
2023-01-01,23
2023-01-08,45
2023-01-15,18
2023-01-22,36
2023-01-29,28
2023-02-05,26
2023-02-12,23
2023-02-19,27
2023-02-26,27
