Category: All categories

Week,Green Bay Packers: (United States)
2021-08-01,21
2021-08-08,18
2021-08-15,22
2021-08-22,17
2021-08-29,33
2021-09-05,15
2021-09-12,11
2021-09-19,35
2021-09-26,36
2021-10-03,28
2021-10-10,19
2021-10-17,32
2021-10-24,80
2021-10-31,78
2021-11-07,56
2021-11-14,40
2021-11-21,43
2021-11-28,23
2021-12-05,19
2021-12-12,39
2021-12-19,43
2021-12-26,39
2022-01-02,53
2022-01-09,36
2022-01-16,62
2022-01-23,100
2022-01-30,18
2022-02-06,18
2022-02-13,16
2022-02-20,9
2022-02-27,10
2022-03-06,34
2022-03-13,50
2022-03-20,54
2022-03-27,39
2022-04-03,34
2022-04-10,19
2022-04-17,21
2022-04-24,66
2022-05-01,30
2022-05-08,22
2022-05-15,18
2022-05-22,15
2022-05-29,4
2022-06-05,14
2022-06-12,6
2022-06-19,8
2022-06-26,10
2022-07-03,10
2022-07-10,12
2022-07-17,18
2022-07-24,21
2022-07-31,12
2022-08-07,29
2022-08-14,34
2022-08-21,37
2022-08-28,40
2022-09-04,25
2022-09-11,44
2022-09-18,35
2022-09-25,27
2022-10-02,30
2022-10-09,22
2022-10-16,34
2022-10-23,50
2022-10-30,72
2022-11-06,39
2022-11-13,51
2022-11-20,20
2022-11-27,31
2022-12-04,22
2022-12-11,21
2022-12-18,48
2022-12-25,50
2023-01-01,46
2023-01-08,68
2023-01-15,17
2023-01-22,19
2023-01-29,13
2023-02-05,11
2023-02-12,13
2023-02-19,21
2023-02-26,17
