Category: All categories

Week,San Francisco 49ers: (United States)
2021-08-01,11
2021-08-08,9
2021-08-15,18
2021-08-22,26
2021-08-29,31
2021-09-05,22
2021-09-12,9
2021-09-19,29
2021-09-26,32
2021-10-03,24
2021-10-10,10
2021-10-17,12
2021-10-24,22
2021-10-31,19
2021-11-07,20
2021-11-14,21
2021-11-21,14
2021-11-28,16
2021-12-05,23
2021-12-12,20
2021-12-19,28
2021-12-26,19
2022-01-02,29
2022-01-09,47
2022-01-16,78
2022-01-23,100
2022-01-30,88
2022-02-06,25
2022-02-13,21
2022-02-20,11
2022-02-27,10
2022-03-06,21
2022-03-13,43
2022-03-20,18
2022-03-27,11
2022-04-03,12
2022-04-10,10
2022-04-17,12
2022-04-24,22
2022-05-01,16
2022-05-08,14
2022-05-15,9
2022-05-22,12
2022-05-29,12
2022-06-05,14
2022-06-12,5
2022-06-19,12
2022-06-26,4
2022-07-03,7
2022-07-10,7
2022-07-17,10
2022-07-24,17
2022-07-31,17
2022-08-07,13
2022-08-14,18
2022-08-21,26
2022-08-28,24
2022-09-04,17
2022-09-11,25
2022-09-18,30
2022-09-25,22
2022-10-02,34
2022-10-09,14
2022-10-16,31
2022-10-23,26
2022-10-30,25
2022-11-06,16
2022-11-13,17
2022-11-20,25
2022-11-27,23
2022-12-04,49
2022-12-11,51
2022-12-18,24
2022-12-25,35
2023-01-01,27
2023-01-08,40
2023-01-15,59
2023-01-22,98
2023-01-29,88
2023-02-05,18
2023-02-12,14
2023-02-19,8
2023-02-26,9
