Category: All categories

Week,Minnesota Vikings: (United States)
2021-08-01,30
2021-08-08,29
2021-08-15,38
2021-08-22,36
2021-08-29,60
2021-09-05,46
2021-09-12,12
2021-09-19,32
2021-09-26,48
2021-10-03,55
2021-10-10,24
2021-10-17,40
2021-10-24,32
2021-10-31,47
2021-11-07,24
2021-11-14,24
2021-11-21,40
2021-11-28,31
2021-12-05,59
2021-12-12,14
2021-12-19,52
2021-12-26,21
2022-01-02,62
2022-01-09,70
2022-01-16,40
2022-01-23,97
2022-01-30,100
2022-02-06,43
2022-02-13,40
2022-02-20,15
2022-02-27,20
2022-03-06,39
2022-03-13,62
2022-03-20,58
2022-03-27,28
2022-04-03,46
2022-04-10,7
2022-04-17,10
2022-04-24,60
2022-05-01,36
2022-05-08,23
2022-05-15,16
2022-05-22,0
2022-05-29,15
2022-06-05,0
2022-06-12,10
2022-06-19,11
2022-06-26,0
2022-07-03,10
2022-07-10,11
2022-07-17,16
2022-07-24,27
2022-07-31,14
2022-08-07,15
2022-08-14,37
2022-08-21,22
2022-08-28,39
2022-09-04,14
2022-09-11,49
2022-09-18,46
2022-09-25,24
2022-10-02,58
2022-10-09,13
2022-10-16,47
2022-10-23,40
2022-10-30,51
2022-11-06,41
2022-11-13,71
2022-11-20,83
2022-11-27,43
2022-12-04,30
2022-12-11,70
2022-12-18,74
2022-12-25,31
2023-01-01,31
2023-01-08,43
2023-01-15,86
2023-01-22,18
2023-01-29,28
2023-02-05,23
2023-02-12,21
2023-02-19,15
2023-02-26,19
