Category: All categories

Week,New York Giants: (United States)
2021-08-01,18
2021-08-08,42
2021-08-15,31
2021-08-22,30
2021-08-29,54
2021-09-05,30
2021-09-12,26
2021-09-19,39
2021-09-26,34
2021-10-03,51
2021-10-10,74
2021-10-17,31
2021-10-24,36
2021-10-31,47
2021-11-07,33
2021-11-14,8
2021-11-21,69
2021-11-28,47
2021-12-05,39
2021-12-12,31
2021-12-19,41
2021-12-26,12
2022-01-02,27
2022-01-09,80
2022-01-16,77
2022-01-23,52
2022-01-30,36
2022-02-06,45
2022-02-13,32
2022-02-20,32
2022-02-27,25
2022-03-06,50
2022-03-13,67
2022-03-20,57
2022-03-27,47
2022-04-03,39
2022-04-10,10
2022-04-17,24
2022-04-24,74
2022-05-01,57
2022-05-08,30
2022-05-15,33
2022-05-22,32
2022-05-29,24
2022-06-05,24
2022-06-12,25
2022-06-19,17
2022-06-26,15
2022-07-03,15
2022-07-10,15
2022-07-17,13
2022-07-24,30
2022-07-31,33
2022-08-07,28
2022-08-14,21
2022-08-21,39
2022-08-28,65
2022-09-04,36
2022-09-11,57
2022-09-18,47
2022-09-25,63
2022-10-02,65
2022-10-09,61
2022-10-16,47
2022-10-23,75
2022-10-30,49
2022-11-06,47
2022-11-13,44
2022-11-20,57
2022-11-27,54
2022-12-04,51
2022-12-11,69
2022-12-18,65
2022-12-25,44
2023-01-01,46
2023-01-08,58
2023-01-15,100
2023-01-22,86
2023-01-29,28
2023-02-05,22
2023-02-12,22
2023-02-19,33
2023-02-26,28
