Category: All categories

Week,Las Vegas Raiders: (United States)
2021-08-01,15
2021-08-08,22
2021-08-15,39
2021-08-22,15
2021-08-29,46
2021-09-05,22
2021-09-12,18
2021-09-19,27
2021-09-26,30
2021-10-03,82
2021-10-10,69
2021-10-17,52
2021-10-24,38
2021-10-31,82
2021-11-07,57
2021-11-14,36
2021-11-21,57
2021-11-28,17
2021-12-05,18
2021-12-12,25
2021-12-19,33
2021-12-26,41
2022-01-02,37
2022-01-09,100
2022-01-16,47
2022-01-23,33
2022-01-30,49
2022-02-06,21
2022-02-13,28
2022-02-20,18
2022-02-27,7
2022-03-06,18
2022-03-13,77
2022-03-20,60
2022-03-27,11
2022-04-03,15
2022-04-10,23
2022-04-17,23
2022-04-24,20
2022-05-01,26
2022-05-08,15
2022-05-15,8
2022-05-22,16
2022-05-29,19
2022-06-05,13
2022-06-12,7
2022-06-19,15
2022-06-26,22
2022-07-03,18
2022-07-10,15
2022-07-17,17
2022-07-24,14
2022-07-31,42
2022-08-07,14
2022-08-14,23
2022-08-21,50
2022-08-28,42
2022-09-04,25
2022-09-11,38
2022-09-18,37
2022-09-25,22
2022-10-02,19
2022-10-09,43
2022-10-16,25
2022-10-23,32
2022-10-30,32
2022-11-06,25
2022-11-13,30
2022-11-20,32
2022-11-27,18
2022-12-04,49
2022-12-11,17
2022-12-18,61
2022-12-25,58
2023-01-01,39
2023-01-08,27
2023-01-15,27
2023-01-22,11
2023-01-29,25
2023-02-05,21
2023-02-12,15
2023-02-19,22
2023-02-26,0
